fold,train_start_year,train_end_year,test_start_year,test_end_year,selected_scenario,selected_score,selected_mean_annual_return,selected_min_annual_return,selected_mean_max_drawdown
1,2020,2022,2023,2023,p_l20_s5_b2_e1_n120_tc50_buf2,0.8821261427780333,0.2683184073096767,0.2290013021669286,-0.11993332880305536
2,2021,2023,2024,2024,p_l20_s5_b3_e1_n100_tc50_buf2,0.8215225128416859,0.22068730079839227,0.1741635710388747,-0.11232751810364332
3,2022,2024,2025,2025,p_l20_s3_b3_e1_n120_tc50_buf2,0.9361346207003658,0.0936803857989096,0.06293001921100738,-0.20643822931080674
