regime,start_date,end_date,weeks,geometric_strategy_return,arithmetic_strategy_return,arithmetic_style_return,arithmetic_residual_return,factor,total_contribution,contribution_pct_of_strategy_arithmetic,contribution_pct_of_style_arithmetic,avg_abs_exposure,avg_weekly_factor_return
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,LIQUIDITY,0.19623120210958445,0.10462314281037298,0.27474952614173226,0.23705559348481978,-0.008562534661333684
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,SIZE,0.10061816428459815,0.05364584458584895,0.14087868117429256,0.25167852908815896,-0.0014906388801162315
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,BETA,0.08899770470503604,0.04745024985348956,0.12460850737567879,0.46731557953837427,0.000838220842450201
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,RESMOM,0.08051685502107038,0.04292857777432989,0.11273420091014745,0.2968153189833756,0.0011836372735210677
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,HISTVOL,0.0771514383547072,0.04113426339050067,0.10802217435977038,0.3879755198948214,0.0028223701617335387
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,CAPX,0.0760416989265199,0.04054259180397743,0.10646839301023256,0.4754797174841595,-3.936316136112925e-06
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,BTOP,0.0642729292579789,0.0342679236752741,0.08999056555495805,0.47099864109963924,-3.1835757679967144e-05
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,STOM,0.05215008849730184,0.027804478073674855,0.07301699194036206,0.25275413675402203,0.0009695765469103153
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,SEASON,0.04235452586148048,0.022581850186071267,0.059301914197625614,0.2896702356251931,0.00037105309051443843
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,MOMENTUM,0.03825920442715312,0.02039837786020365,0.053567924845355504,0.3431512623172951,-0.0008948413571888078
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,CFP,0.03746833162907232,0.01997671404319131,0.05246059877195287,0.4344412283188679,0.0002920353299728844
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,ROA,0.035413342680157965,0.0188810707409812,0.04958334360625596,0.42760730222018617,0.0004777490032160998
steady_2020_to_2024_pre_jump,2020-02-17,2024-09-18,235,4.518928933502583,1.8756003388776894,0.714218527926984,1.1613818109507057,EYIELD,0.033122283990174195,0.017659563875955422,0.04637555971323157,0.5291140632752219,0.00025697810075977345
