fold,train_start_year,train_end_year,test_start_year,test_end_year,selected_scenario,selected_score,selected_mean_annual_return,selected_min_annual_return,selected_mean_max_drawdown
1,2020,2022,2023,2023,p_l20_s5_b2_e1_n120_tc50_buf4,0.8971397374194396,0.27842147472270184,0.24117365107502664,-0.11118057751489727
2,2021,2023,2024,2024,p_l20_s5_b3_e1_n100_tc50_buf4,0.8028404903662404,0.2252747282758392,0.17556755517859268,-0.10952982244940372
3,2022,2024,2025,2025,p_l20_s3_b3_e1_n120_tc50_buf4,0.8998139846556108,0.09583376912320547,0.07250905183946044,-0.2267805684816747
