月份,交易次数,月度收益率,月度胜率
2020-02,2,2.07%,50.00%
2020-03,5,-1.48%,60.00%
2020-04,4,1.51%,75.00%
2020-05,4,6.10%,50.00%
2020-06,5,8.83%,100.00%
2020-07,4,12.19%,50.00%
2020-08,5,3.49%,60.00%
2020-09,4,-1.21%,50.00%
2020-10,4,0.40%,25.00%
2020-11,5,11.79%,80.00%
2020-12,4,0.80%,50.00%
2021-01,4,1.17%,25.00%
2021-02,4,10.88%,75.00%
2021-03,5,3.22%,80.00%
2021-04,4,2.72%,75.00%
2021-05,5,2.37%,60.00%
2021-06,4,7.56%,75.00%
2021-07,4,12.10%,75.00%
2021-08,5,16.22%,100.00%
2021-09,4,4.15%,75.00%
2021-10,4,0.79%,50.00%
2021-11,5,15.32%,80.00%
2021-12,4,9.58%,100.00%
2022-01,4,-6.47%,25.00%
2022-02,4,5.77%,50.00%
2022-03,4,4.99%,75.00%
2022-04,4,-9.14%,50.00%
2022-05,5,11.43%,80.00%
2022-06,4,10.61%,100.00%
2022-07,4,10.83%,75.00%
2022-08,5,-1.48%,40.00%
2022-09,4,-10.52%,25.00%
2022-10,4,15.29%,75.00%
2022-11,4,4.52%,50.00%
2022-12,4,-3.33%,25.00%
2023-01,4,9.73%,100.00%
2023-02,4,1.31%,50.00%
2023-03,4,4.68%,50.00%
2023-04,4,8.68%,50.00%
2023-05,5,1.44%,60.00%
2023-06,4,-0.41%,50.00%
2023-07,5,1.99%,40.00%
2023-08,4,-1.85%,50.00%
2023-09,4,-2.02%,50.00%
2023-10,4,1.77%,50.00%
2023-11,4,4.31%,75.00%
2023-12,4,-3.29%,25.00%
2024-01,5,-22.76%,40.00%
2024-02,3,23.73%,100.00%
2024-03,4,9.66%,75.00%
2024-04,5,-2.22%,40.00%
2024-05,4,-4.69%,25.00%
2024-06,4,-8.35%,25.00%
2024-07,5,0.57%,60.00%
2024-08,4,0.30%,75.00%
2024-09,5,49.16%,80.00%
2024-10,4,-3.95%,50.00%
2024-11,4,14.77%,75.00%
2024-12,5,-11.90%,60.00%
2025-01,4,4.19%,25.00%
2025-02,4,8.21%,75.00%
2025-03,5,-6.57%,40.00%
2025-04,4,15.99%,75.00%
2025-05,4,2.77%,50.00%
2025-06,5,5.72%,60.00%
2025-07,4,11.07%,100.00%
2025-08,4,8.50%,75.00%
2025-09,5,0.40%,40.00%
2025-10,4,-0.83%,50.00%
2025-11,4,-2.55%,75.00%
2025-12,4,0.44%,50.00%
