scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.05,2020,46,0.2151215598922096,0.057161273735697495,0.9506591811700243,2.3217703428639225
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.05,2021,52,0.36051414072611854,0.06438064415020532,0.9336334467189699,3.5710507897459105
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.05,2022,50,0.18121120735007956,0.0642784581333228,0.9566159339314126,2.2211873788529966
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.05,2023,50,-0.013386970278370769,0.0655319949307209,0.9616337054332322,1.9502730253397922
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.05,2024,52,0.047729480050101136,0.06383568917627416,0.9138766076274405,4.624459355054613
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.05,2025,51,0.5153192315291901,0.05911642602768463,0.8866602541989638,6.043204097438971
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.1,2020,46,0.21416876469231028,0.058391149364959496,0.9670464822953326,1.5492838297125349
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.1,2021,52,0.3615110015621219,0.06738914919702366,0.9667937770931545,1.7583368345321497
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.1,2022,50,0.17588089094912962,0.0660511130119743,0.9753364071893352,1.2578456778785776
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.1,2023,50,-0.009827320181372223,0.06761788243419053,0.9849939489226611,0.7568694107214197
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.1,2024,52,0.04313709253120801,0.06559597060762727,0.9331656345483913,3.5198440624898217
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.1,2025,51,0.5145968865220434,0.05926354016100578,0.8882508277778457,5.951489528891249
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.2,2020,46,0.21792955247417356,0.05849554466976666,0.9682751069337376,1.4912305949369395
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.2,2021,52,0.359427985333193,0.06790787527751765,0.972671626527074,1.4437971693053466
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.2,2022,50,0.17538262937514482,0.06620517293933666,0.9765618857884898,1.1941988346539427
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.2,2023,50,-0.009613713305168914,0.06773308414351104,0.9859577946374057,0.7077370491307063
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.2,2024,52,0.04291471157024507,0.06602364580538428,0.9377356446059513,3.264886707552886
p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.2,2025,51,0.5146279383847774,0.059268831461051504,0.8883814488748121,5.943840225138953
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.05,2020,46,0.20284323822717742,0.05590974789058565,0.8256414517142477,8.601653546890269
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.05,2021,52,0.3083374852581582,0.060028617556725276,0.798721715501478,11.189014968218402
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.05,2022,50,0.16497702228044275,0.06065032954633734,0.8076788313770987,10.211577598619069
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.05,2023,50,-0.019122724354945997,0.058002371129360526,0.7639305940262936,12.567537186773308
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.05,2024,52,0.061159453148973864,0.060970817979464284,0.7849753574953845,12.230981478026317
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.05,2025,51,0.49568922421593653,0.06252381651287411,0.8292775654744516,9.427371193707037
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.1,2020,46,0.20599679488357547,0.0636499678087276,0.9218606235546115,3.718865597373298
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.1,2021,52,0.3391353972007638,0.0703636274177413,0.8959422957264168,5.667187980096799
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.1,2022,50,0.17142822296360705,0.07168252086761989,0.922635020002577,3.9922457994335008
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.1,2023,50,-0.024169617227169926,0.0723187112489933,0.9146856929533389,4.3776549181841435
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.1,2024,52,0.0426107632903403,0.07099039195792425,0.8832543115276965,6.40256938034674
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.1,2025,51,0.5032410487243324,0.06698636880187178,0.8798472485840341,6.4328603180180215
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.2,2020,46,0.20157816720107524,0.06723857801808486,0.9609079198259367,1.8349904438175477
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.2,2021,52,0.3461863216314034,0.07738195512045994,0.9525865312303581,2.528242069319621
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.2,2022,50,0.1644420435568894,0.0771728041853191,0.9689839493399042,1.585047755989582
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.2,2023,50,-0.02378032284781717,0.07962435459894156,0.9773181736815261,1.1476958888976816
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.2,2024,52,0.034176848403030924,0.07610305679159735,0.924771893227049,3.997649876391412
p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.2,2025,51,0.5020182283329668,0.06783601350108358,0.8880379853481879,5.965554248614922
p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.05,2020,46,0.17665655142061842,0.05153654047816944,0.7258663556248921,13.813546236940638
p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.05,2021,52,0.26240413342042324,0.054791076768451574,0.706078344671651,16.543110440708293
p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.05,2022,50,0.13922337274135632,0.053914896196441874,0.6844763633302232,17.14631916170303
p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.05,2023,50,-0.01622758873871577,0.05021808637443564,0.6284103278342084,20.470424773436033
p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.05,2024,52,0.04685055753336398,0.055164842664759496,0.6770113816451693,18.726059318979512
p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.05,2025,51,0.4461338614812207,0.05940533177694812,0.7472188777231207,14.374218549183398
