fold,train_start_year,train_end_year,test_start_year,scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,train_rank
1,2020,2022,2023,p_l20_s5_b2_e1_n120_tc50_buf2,"L=20, S=5, bins=2, E=1, top_n=120, tc50_buf2",20,5,2,1,120,0.8821261427780333,0.2683184073096767,0.2290013021669286,1.1315503363198423,-0.11993332880305536,-0.12195338004790257,0.8963219183802522,0.9295434262480493,0.03110954838607906,0.14850534657337316,0.194504449318757,1
1,2020,2022,2023,p_l20_s5_b3_e1_n120_tc50_buf2,"L=20, S=5, bins=3, E=1, top_n=120, tc50_buf2",20,5,3,1,120,0.7934367776253936,0.2448609125626796,0.20671232385379845,1.042185183979129,-0.11343125223709204,-0.11434315813897078,0.8967433488851841,0.929858989383016,0.03151091614897534,0.12849934010651606,0.19394484701236822,2
1,2020,2022,2023,p_l10_s10_b2_e1_n120_tc50_buf2,"L=10, S=10, bins=2, E=1, top_n=120, tc50_buf2",10,10,2,1,120,0.7818067660728976,0.23134800931902819,0.2038090480491217,0.9561572812006944,-0.12480534527440248,-0.12814833081683386,0.9085754351568295,0.935444345023791,0.03259023083636203,0.07351414732982678,0.19548969801501676,3
1,2020,2022,2023,p_l20_s5_b3_e1_n100_tc50_buf2,"L=20, S=5, bins=3, E=1, top_n=100, tc50_buf2",20,5,3,1,100,0.7775784749389969,0.26259488545782717,0.21252544372496485,1.1172751153991594,-0.11589943745211996,-0.11723337415176505,0.8821441578300541,0.9171479303439308,0.04121989955689132,0.15481167190663817,0.1949659291033367,4
1,2020,2022,2023,p_l10_s10_b2_e1_n100_tc50_buf2,"L=10, S=10, bins=2, E=1, top_n=100, tc50_buf2",10,10,2,1,100,0.7524444343853989,0.24486911429982236,0.20227484834441567,1.0198006164441709,-0.12427944533326565,-0.1262450109343527,0.8945252257437759,0.9222816910594938,0.04364817887400146,0.0748158655048201,0.1963791219491157,5
1,2020,2022,2023,p_l20_s3_b3_e1_n120_tc50_buf2,"L=20, S=3, bins=3, E=1, top_n=120, tc50_buf2",20,3,3,1,120,0.7486372269668818,0.227590990937961,0.19709639756517472,0.9530079883833871,-0.11410163516956875,-0.11512924635714938,0.9132010067350025,0.9357117919951554,0.03804839661172699,0.1382451638242472,0.1964187704651641,6
1,2020,2022,2023,p_l10_s10_b3_e1_n120_tc50_buf2,"L=10, S=10, bins=3, E=1, top_n=120, tc50_buf2",10,10,3,1,120,0.7409307787718041,0.2193823737150088,0.19244222212184403,0.8941223435937419,-0.11874502425617177,-0.1284555069895077,0.9113711035926717,0.9362091382084178,0.03444607174807131,0.06889388730441584,0.19561921459244636,7
1,2020,2022,2023,p_l20_s5_b2_e1_n100_tc50_buf2,"L=20, S=5, bins=2, E=1, top_n=100, tc50_buf2",20,5,2,1,100,0.710628064589941,0.2517494731638342,0.19788391203611377,1.0560545289424335,-0.1206575657537216,-0.12232887233171486,0.8777682503909774,0.9150090365551102,0.040038013442284026,0.13811010136146185,0.19470104336236915,8
1,2020,2022,2023,p_l10_s10_b3_e1_n100_tc50_buf2,"L=10, S=10, bins=3, E=1, top_n=100, tc50_buf2",10,10,3,1,100,0.7070448651397635,0.23009197217242366,0.19452500897380176,0.9502575538797006,-0.11937113007760441,-0.13013940635939747,0.8960151237465769,0.9236038681113808,0.043030634885972245,0.08259433237143778,0.19612203663371722,9
1,2020,2022,2023,p_l10_s10_b3_e1_n80_tc50_buf2,"L=10, S=10, bins=3, E=1, top_n=80, tc50_buf2",10,10,3,1,80,0.6578991559805691,0.2481644356440319,0.19375156126693605,1.0329110454352277,-0.12370488720970095,-0.14189973174450188,0.8708185473817724,0.9037217028294814,0.055170959865727155,0.07101157318107158,0.1955876942320151,10
1,2020,2022,2023,p_l20_s3_b3_e1_n100_tc50_buf2,"L=20, S=3, bins=3, E=1, top_n=100, tc50_buf2",20,3,3,1,100,0.6477031812763486,0.2220957642996763,0.18529750302063408,0.9317062577968807,-0.114274616719751,-0.11602466336529715,0.8952606461125472,0.9215210327695905,0.047475349380051476,0.12228015112031264,0.1966775283287855,11
