scenario,description,max_turnover,buffer_multiplier,date,signal_date,next_date,return,num_stocks,turnover,baseline_overlap,retained_old_count,retained_outside_candidate_count,selected_codes,avg_similarity,median_similarity,avg_rank,missing_similarity_count
baseline,Barra Top500 -> Alpha Top50,,,2020-04-27,2020-04-24,2020-05-06,0.005534014155483429,50,0.7,1.0,15,0,"['603711.SH', '603043.SH', '603886.SH', '002840.SZ', '603297.SH', '002141.SZ', '603773.SH', '603896.SH', '002370.SZ', '300171.SZ', '603595.SH', '603919.SH', '300006.SZ', '300255.SZ', '600300.SH', '300642.SZ', '300199.SZ', '002570.SZ', '002845.SZ', '600479.SH', '002462.SZ', '002219.SZ', '002412.SZ', '600713.SH', '600227.SH', '000788.SZ', '300198.SZ', '000950.SZ', '002726.SZ', '300149.SZ', '600876.SH', '002876.SZ', '300673.SZ', '300291.SZ', '002288.SZ', '603619.SH', '600851.SH', '002741.SZ', '600771.SH', '300128.SZ', '603108.SH', '002163.SZ', '000915.SZ', '000597.SZ', '300143.SZ', '002699.SZ', '000931.SZ', '600129.SH', '000615.SZ', '002782.SZ']",0.26943753111000496,0.27156367773590273,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-05-06,2020-04-30,2020-05-11,0.019506658660017513,50,0.84,1.0,8,0,"['603711.SH', '300708.SZ', '002937.SZ', '603327.SH', '002840.SZ', '002955.SZ', '603297.SH', '300545.SZ', '603595.SH', '002570.SZ', '002913.SZ', '002845.SZ', '300043.SZ', '603133.SH', '603348.SH', '002907.SZ', '300481.SZ', '300438.SZ', '300331.SZ', '300735.SZ', '300673.SZ', '603078.SH', '300016.SZ', '002139.SZ', '300653.SZ', '002222.SZ', '300429.SZ', '002579.SZ', '300149.SZ', '300666.SZ', '000012.SZ', '300672.SZ', '002055.SZ', '603687.SH', '603626.SH', '600305.SH', '600936.SH', '600597.SH', '300497.SZ', '300401.SZ', '000710.SZ', '603848.SH', '300322.SZ', '300053.SZ', '603733.SH', '603185.SH', '300232.SZ', '002951.SZ', '002449.SZ', '600789.SH']",0.2602532498147773,0.25186906445746615,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-05-11,2020-05-08,2020-05-18,-0.0009327343478230188,50,0.46,1.0,27,0,"['300708.SZ', '002937.SZ', '300788.SZ', '300739.SZ', '300389.SZ', '300785.SZ', '603297.SH', '300686.SZ', '300632.SZ', '002137.SZ', '300783.SZ', '603595.SH', '300545.SZ', '002913.SZ', '002840.SZ', '002845.SZ', '300043.SZ', '002876.SZ', '603348.SH', '300198.SZ', '002847.SZ', '600552.SH', '300481.SZ', '300673.SZ', '300438.SZ', '300735.SZ', '300723.SZ', '002139.SZ', '603730.SH', '300331.SZ', '002782.SZ', '603078.SH', '002095.SZ', '300679.SZ', '002222.SZ', '002755.SZ', '002579.SZ', '603533.SH', '300429.SZ', '300016.SZ', '603626.SH', '000012.SZ', '300653.SZ', '300666.SZ', '603197.SH', '603687.SH', '002055.SZ', '300428.SZ', '002238.SZ', '603387.SH']",0.2695696793002915,0.2582798833819242,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-05-18,2020-05-15,2020-05-25,-0.02574426149227457,50,0.58,1.0,21,0,"['300708.SZ', '603327.SH', '002937.SZ', '300739.SZ', '603103.SH', '002955.SZ', '603297.SH', '603773.SH', '300545.SZ', '603595.SH', '002913.SZ', '002732.SZ', '002947.SZ', '603043.SH', '300788.SZ', '600197.SH', '300785.SZ', '603133.SH', '603619.SH', '600059.SH', '300673.SZ', '000532.SZ', '300493.SZ', '300723.SZ', '300481.SZ', '600702.SH', '600288.SH', '002703.SZ', '603590.SH', '002755.SZ', '300331.SZ', '002222.SZ', '300016.SZ', '002847.SZ', '002891.SZ', '603896.SH', '603078.SH', '300653.SZ', '002579.SZ', '600707.SH', '603848.SH', '002238.SZ', '300149.SZ', '603733.SH', '600136.SH', '603727.SH', '300672.SZ', '002161.SZ', '002951.SZ', '300219.SZ']",0.2514658073755818,0.2388471177944862,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-05-25,2020-05-22,2020-06-01,0.06920803885228086,50,0.34,1.0,33,0,"['300708.SZ', '603327.SH', '300739.SZ', '002937.SZ', '002955.SZ', '603297.SH', '300545.SZ', '002913.SZ', '603773.SH', '603595.SH', '002947.SZ', '603121.SH', '300785.SZ', '002876.SZ', '002732.SZ', '603133.SH', '603043.SH', '603777.SH', '002892.SZ', '300723.SZ', '300481.SZ', '002840.SZ', '002703.SZ', '300016.SZ', '300331.SZ', '002579.SZ', '600197.SH', '002222.SZ', '603896.SH', '603978.SH', '002119.SZ', '300149.SZ', '603185.SH', '603078.SH', '002951.SZ', '300673.SZ', '603626.SH', '600136.SH', '300687.SZ', '300396.SZ', '603661.SH', '300401.SZ', '300219.SZ', '603727.SH', '300672.SZ', '600702.SH', '603267.SH', '300561.SZ', '603956.SH', '000915.SZ']",0.23353310104529615,0.22055749128919866,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-06-01,2020-05-29,2020-06-08,0.013974930733183254,50,0.56,1.0,22,0,"['300739.SZ', '300708.SZ', '002937.SZ', '300632.SZ', '002861.SZ', '603297.SH', '603773.SH', '002947.SZ', '002587.SZ', '603103.SH', '603327.SH', '603348.SH', '002955.SZ', '603121.SH', '002732.SZ', '300102.SZ', '603043.SH', '300128.SZ', '002288.SZ', '002650.SZ', '002646.SZ', '603619.SH', '002876.SZ', '002741.SZ', '300583.SZ', '603133.SH', '000532.SZ', '002703.SZ', '002892.SZ', '300493.SZ', '000615.SZ', '300077.SZ', '300061.SZ', '600197.SH', '300740.SZ', '300331.SZ', '000150.SZ', '002579.SZ', '002464.SZ', '600288.SH', '603978.SH', '002119.SZ', '600707.SH', '002161.SZ', '300666.SZ', '002951.SZ', '600702.SH', '300198.SZ', '300064.SZ', '300204.SZ']",0.24998255064107425,0.2478567635232532,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-06-08,2020-06-05,2020-06-15,0.004754010662844219,50,0.48,1.0,26,0,"['300708.SZ', '300739.SZ', '002937.SZ', '002861.SZ', '300632.SZ', '603297.SH', '603773.SH', '002732.SZ', '002587.SZ', '002947.SZ', '300343.SZ', '300583.SZ', '000150.SZ', '300467.SZ', '300102.SZ', '300128.SZ', '002288.SZ', '603619.SH', '603133.SH', '002148.SZ', '002189.SZ', '300052.SZ', '300061.SZ', '300077.SZ', '002892.SZ', '300493.SZ', '002464.SZ', '300657.SZ', '300679.SZ', '300364.SZ', '002139.SZ', '300043.SZ', '002045.SZ', '300149.SZ', '300323.SZ', '600425.SH', '603999.SH', '000615.SZ', '002579.SZ', '300401.SZ', '300198.SZ', '600715.SH', '603106.SH', '000996.SZ', '002369.SZ', '300299.SZ', '002101.SZ', '300336.SZ', '300278.SZ', '600707.SH']",0.24074228761271954,0.23336497389653538,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-06-15,2020-06-12,2020-06-22,0.012618182562884772,50,0.78,1.0,11,0,"['600199.SH', '002732.SZ', '300632.SZ', '002646.SZ', '603676.SH', '002464.SZ', '002907.SZ', '300583.SZ', '002370.SZ', '600613.SH', '603619.SH', '600715.SH', '300642.SZ', '300436.SZ', '002741.SZ', '002166.SZ', '002892.SZ', '000532.SZ', '600425.SH', '002412.SZ', '600136.SH', '600200.SH', '000150.SZ', '600326.SH', '000607.SZ', '600702.SH', '002472.SZ', '002550.SZ', '300006.SZ', '000766.SZ', '002644.SZ', '603687.SH', '002101.SZ', '000546.SZ', '300273.SZ', '300131.SZ', '603915.SH', '000615.SZ', '000518.SZ', '000599.SZ', '300204.SZ', '002284.SZ', '300516.SZ', '600081.SH', '300171.SZ', '300064.SZ', '601595.SH', '002510.SZ', '300267.SZ', '002366.SZ']",0.22824120603015075,0.22382319762075686,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-06-22,2020-06-19,2020-06-29,0.00044439178077243735,50,0.9,1.0,5,0,"['300739.SZ', '300389.SZ', '002861.SZ', '002913.SZ', '603297.SH', '002724.SZ', '300545.SZ', '603013.SH', '603595.SH', '603327.SH', '603348.SH', '002288.SZ', '002741.SZ', '300493.SZ', '603619.SH', '002582.SZ', '300735.SZ', '002840.SZ', '300481.SZ', '603676.SH', '603730.SH', '002139.SZ', '002515.SZ', '300765.SZ', '002892.SZ', '300788.SZ', '002570.SZ', '002579.SZ', '002880.SZ', '603896.SH', '002369.SZ', '603626.SH', '603387.SH', '300273.SZ', '603367.SH', '300232.SZ', '600285.SH', '002222.SZ', '300219.SZ', '603586.SH', '603978.SH', '603267.SH', '300401.SZ', '300191.SZ', '002020.SZ', '300322.SZ', '002636.SZ', '300396.SZ', '600933.SH', '600073.SH']",0.25642997694945746,0.2503232698037893,25.5,0
baseline,Barra Top500 -> Alpha Top50,,,2020-06-29,2020-06-24,2020-07-06,0.05439654925343617,50,0.54,1.0,23,0,"['002937.SZ', '002861.SZ', '603297.SH', '603773.SH', '300632.SZ', '002587.SZ', '300765.SZ', '002755.SZ', '603327.SH', '603676.SH', '002880.SZ', '002732.SZ', '300273.SZ', '300016.SZ', '002288.SZ', '603896.SH', '603133.SH', '002741.SZ', '002876.SZ', '603387.SH', '300206.SZ', '300702.SZ', '300735.SZ', '300401.SZ', '300788.SZ', '603730.SH', '300147.SZ', '300679.SZ', '002892.SZ', '002139.SZ', '300497.SZ', '002570.SZ', '300481.SZ', '300396.SZ', '300604.SZ', '300639.SZ', '002369.SZ', '000915.SZ', '002579.SZ', '300331.SZ', '300406.SZ', '603305.SH', '603538.SH', '000607.SZ', '300149.SZ', '300573.SZ', '603919.SH', '000710.SZ', '603626.SH', '300653.SZ']",0.2537991718426501,0.24929754510499852,25.5,0
