月份,交易次数,月度收益率,月度胜率
2020-02,2,4.86%,50.00%
2020-03,5,-3.34%,60.00%
2020-04,4,1.06%,50.00%
2020-05,4,6.03%,50.00%
2020-06,5,6.26%,60.00%
2020-07,4,8.50%,50.00%
2020-08,5,0.48%,60.00%
2020-09,4,-2.02%,50.00%
2020-10,4,0.36%,25.00%
2020-11,5,6.75%,80.00%
2020-12,4,0.92%,50.00%
2021-01,4,-3.72%,25.00%
2021-02,4,8.68%,75.00%
2021-03,5,5.09%,80.00%
2021-04,4,2.33%,50.00%
2021-05,5,5.87%,80.00%
2021-06,4,5.88%,100.00%
2021-07,4,8.21%,75.00%
2021-08,5,12.48%,80.00%
2021-09,4,2.95%,50.00%
2021-10,4,-0.38%,50.00%
2021-11,5,10.42%,80.00%
2021-12,4,7.04%,100.00%
2022-01,4,-6.13%,0.00%
2022-02,4,4.88%,50.00%
2022-03,4,5.32%,75.00%
2022-04,4,-8.28%,50.00%
2022-05,5,13.41%,60.00%
2022-06,4,8.42%,75.00%
2022-07,4,9.37%,75.00%
2022-08,5,-0.60%,40.00%
2022-09,4,-10.61%,25.00%
2022-10,4,11.14%,75.00%
2022-11,4,4.29%,50.00%
2022-12,4,-3.51%,25.00%
2023-01,4,8.09%,100.00%
2023-02,4,1.72%,50.00%
2023-03,4,2.73%,50.00%
2023-04,4,2.99%,50.00%
2023-05,5,1.94%,60.00%
2023-06,4,0.41%,50.00%
2023-07,5,0.32%,20.00%
2023-08,4,-4.13%,25.00%
2023-09,4,-2.17%,50.00%
2023-10,4,4.09%,50.00%
2023-11,4,5.19%,75.00%
2023-12,4,-5.13%,25.00%
2024-01,5,-23.49%,40.00%
2024-02,3,22.94%,100.00%
2024-03,4,7.04%,75.00%
2024-04,5,-3.89%,40.00%
2024-05,4,-5.05%,25.00%
2024-06,4,-8.52%,25.00%
2024-07,5,-1.61%,60.00%
2024-08,4,1.39%,75.00%
2024-09,5,42.69%,80.00%
2024-10,4,-4.80%,50.00%
2024-11,4,14.61%,75.00%
2024-12,5,-12.33%,40.00%
2025-01,4,3.28%,25.00%
2025-02,4,7.36%,75.00%
2025-03,5,-6.48%,40.00%
2025-04,4,14.49%,75.00%
2025-05,4,2.01%,50.00%
2025-06,5,5.07%,40.00%
2025-07,4,9.99%,100.00%
2025-08,4,7.08%,75.00%
2025-09,5,-1.60%,40.00%
2025-10,4,-1.73%,50.00%
2025-11,4,-0.54%,75.00%
2025-12,4,0.50%,50.00%
