年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,33.10%,25.92%,1.17,54.35%,11.47%
2021,52,107.59%,21.93%,4.77,80.77%,8.87%
2022,50,20.12%,25.96%,0.66,50.00%,14.05%
2023,50,16.43%,20.63%,0.66,52.00%,15.58%
2024,52,22.31%,51.81%,0.37,59.62%,21.74%
2025,51,68.50%,23.57%,2.78,60.78%,10.27%
