date,SIZE,MIDCAP,BETA,RESVOL,HISTVOL,MOMENTUM,RESMOM,BTOP,EYIELD,CFP,SP,LP,EGRO,SGRO,MLEV,BLEV,LIQUIDITY,STOM,STOQ,ROE,ROA,CAPX,AGRO,TOPSI,SEASON
2020-01-02,-0.0005851117701919776,-0.0010907513953848401,0.006197590103355624,-0.03431499460412548,0.03674379796923996,1.3763667313565239e-05,0.09126168031461088,-0.001947080146346689,0.00027071623875734045,-0.00015170918598614617,0.0005924761179748247,0.000270716238756772,4.507783112265317e-05,-0.00019956315907552124,0.00203795038260882,-0.0018445856944802068,-0.0016598301955917806,-0.0025125936137980697,0.0028165075432165627,-0.0008613884347483631,-0.0011145263540120575,-0.0009816921699039355,-2.462755214903421e-05,-0.09275452115176969,-0.0006674046868575175
2020-01-03,-0.0004891939121227087,-0.0020124205927022315,0.001239168897622322,-0.14702503765178848,0.14972570964067416,-0.0005552238830153321,0.022803739103094457,-0.001323350959200609,-0.00026245327282619794,-0.00012660866523499047,0.0006110963301494833,-0.0002624532728257418,-0.00047981855199708424,0.0010253511435027113,-0.0001746245949725177,-0.0005302309924746692,0.004195446560926883,-0.0009372983745732946,-0.0041708197200872495,-0.0010448866082455978,-0.000586940942530453,0.0012011210633193885,-3.257818116154018e-05,-0.023951459059587118,0.0010015101765373656
2020-01-06,-0.0018247614343350938,-0.0010891409180183475,0.0012307597988411906,-0.12364116227518832,0.1269177545237129,-0.0006726879540924237,0.006900705922827069,0.0011316441389071568,0.0002436331277603443,-0.0002672078323109378,-0.0005791505267378728,0.00024363312776194698,-0.000624577661051886,0.00021618539399592633,0.00017023743789295226,0.0005560050472755106,-0.005417126945703706,-0.0009738406659187825,0.004607925533351784,0.00033289173263484324,0.002324330058459094,-0.00045319332997674185,-0.0009271470275847841,-0.006582994443319072,0.0006942078372652585
2020-01-07,-0.00045860813905791633,-0.0005088627622252847,-0.0004425444255642266,-0.005281707333807379,0.004379365306962046,-0.0012022719583101168,0.0138290504728115,-0.003089840303578525,-0.0014353091094604458,-0.00019154619326517775,-0.00010469013637263466,-0.0014353091094604481,0.00023944728301845665,0.0012625632718467842,0.005320238144202859,-0.002684278417944037,0.001273943686405765,-0.005109018009050399,-0.00027902540809150353,-3.6399286069521514e-05,-0.0001392807384282689,0.0010196911284270087,0.00018124124198110652,-0.014007858498801954,0.0033623973105784194
2020-01-08,-0.001460694500960785,0.0005769056640882182,0.003326391177051647,-0.1383855209449154,0.13845516478443856,0.0024012010769702244,-0.0008206260327508818,-0.002777248742630745,4.0118346314437344e-05,9.43948722465425e-05,9.108432549240209e-05,4.0118346314334724e-05,-0.0008897950036546656,-0.0006353008873299671,0.002893733745126506,-0.0017859864851446053,-0.009179738694480858,0.003420371530756122,0.00351670868550848,-1.2430192278254997e-05,0.0020730261780008813,-0.00022260131309654178,0.0006062543383571454,0.000988705599784643,-0.0012485733794577233
2020-01-09,-0.001544339734575094,-0.00014038002367664816,0.000503137157310142,-0.037271935777885096,0.03587540679312297,0.0026367005993039516,0.02110748699115955,-0.0018760242649181011,-0.0002604792098674267,0.00023593960424275702,0.00026237181656320547,-0.00026047920986772187,-0.0002316550781141214,0.00011043497012841921,0.002336426904842945,-0.0012719647396463548,-0.003803919952585835,-0.001988315624449934,0.004329110943271072,0.0005460588871569568,0.0019517607693071962,0.0005719050767987824,0.00064892196093928,-0.02065633411550096,-0.0016206069892980947
2020-01-10,0.00014678872784336426,-0.0008452799825689057,0.0037657012089013205,-0.02187793553027771,0.018969639167227194,-0.001161499059295092,0.014215153297505959,-0.0019106755107364901,-0.0004276628389473462,1.4922873861078587e-05,0.0001860087552930086,-0.0004276628389474581,0.00023662266203724065,-0.00010527896541734518,0.002801406068227775,-0.0012094555432473652,0.00028217712845869853,0.0041738187337634885,-0.002921497669133492,0.0009036852333013541,0.0009951172000535005,0.0005411892435993936,0.001601858051260007,-0.009323130050394982,0.0006292229471051791
2020-01-13,-0.001803074465435898,-0.0002405088985091856,-0.0041384135362799186,-0.02305428932477977,0.024418481570425803,-0.001118288736534997,-0.033138398125663326,-0.0011053630123364242,0.0009449001178000577,0.0002793871439609776,-0.00021513459690861568,0.0009449001178001612,-0.0001264379014143342,0.0004802045087451397,0.0034194276893770186,-0.001181183064928189,-0.0024205299074009957,0.0018179057105158073,-0.0005255566166786359,-0.00027197496896640583,-0.0010843552452617082,0.001093210557654693,8.238045664857836e-05,0.03201374243818771,-0.00019964753177422457
2020-01-14,0.0002664395109231248,-0.001390942697079082,0.0023864674394719785,-0.08883184645754592,0.08631862118948977,0.002529851368281045,0.0039631370952531155,-0.003630917791681489,5.777781238294538e-05,-0.00025712052080011566,0.0002628113318097185,5.77778123816902e-05,-8.868868235773743e-05,-0.001283811551615877,0.0020402610645616844,-0.002742571582823655,-0.0029032133852870744,-0.002797957891726884,0.004400784883337376,0.00016133784402612477,0.0005836906760278187,9.731983841031973e-05,0.0005757318220279249,-0.001788869078358705,-7.550659288970659e-05
2020-01-15,0.00042544067076624595,-0.0015458561268701368,-0.001290790789662335,-0.005056352634086285,0.0034021617383141745,0.0010566457506796742,-0.011231409573740879,-0.00230658178468266,-0.001091893525742306,-0.0006308511129777085,0.00042546917181863906,-0.0010918935257423071,0.0003679796926422524,0.0004783381809934149,0.004039584797664005,0.0003418198588870561,-0.0022072537248666504,0.005971702602607289,-0.003321049476556934,-0.0010143373596891343,0.002418189422123802,0.0004349974813884628,0.000723960490222943,0.012759310905597877,0.001525429216749667
