月份,交易次数,月度收益率,月度胜率
2020-02,2,2.85%,50.00%
2020-03,5,-3.67%,40.00%
2020-04,4,-1.56%,25.00%
2020-05,4,6.23%,75.00%
2020-06,5,7.20%,60.00%
2020-07,4,17.28%,50.00%
2020-08,5,-3.74%,40.00%
2020-09,4,-0.22%,50.00%
2020-10,4,3.17%,25.00%
2020-11,5,6.20%,60.00%
2020-12,4,5.12%,50.00%
2021-01,4,3.27%,50.00%
2021-02,4,12.79%,75.00%
2021-03,5,3.32%,80.00%
2021-04,4,6.31%,100.00%
2021-05,5,2.63%,80.00%
2021-06,4,8.01%,75.00%
2021-07,4,19.35%,100.00%
2021-08,5,17.61%,100.00%
2021-09,4,2.03%,75.00%
2021-10,4,-1.29%,25.00%
2021-11,5,17.02%,80.00%
2021-12,4,6.66%,100.00%
2022-01,4,-4.94%,25.00%
2022-02,4,4.92%,50.00%
2022-03,4,15.36%,75.00%
2022-04,4,-8.67%,50.00%
2022-05,5,9.35%,80.00%
2022-06,4,7.84%,50.00%
2022-07,4,12.73%,100.00%
2022-08,5,-3.92%,40.00%
2022-09,4,-9.31%,25.00%
2022-10,4,13.89%,75.00%
2022-11,4,9.83%,75.00%
2022-12,4,-5.48%,50.00%
2023-01,4,9.67%,100.00%
2023-02,4,3.33%,75.00%
2023-03,4,10.29%,75.00%
2023-04,4,6.08%,50.00%
2023-05,5,2.09%,60.00%
2023-06,4,-0.23%,50.00%
2023-07,5,1.70%,40.00%
2023-08,4,-5.98%,25.00%
2023-09,4,-2.03%,50.00%
2023-10,4,1.13%,50.00%
2023-11,4,1.16%,50.00%
2023-12,4,-6.46%,25.00%
2024-01,5,-25.13%,40.00%
2024-02,3,22.62%,100.00%
2024-03,4,6.43%,75.00%
2024-04,5,-1.58%,40.00%
2024-05,4,-4.49%,25.00%
2024-06,4,-8.37%,50.00%
2024-07,5,-1.89%,60.00%
2024-08,4,-1.42%,50.00%
2024-09,5,45.41%,80.00%
2024-10,4,-4.40%,50.00%
2024-11,4,10.61%,75.00%
2024-12,5,-10.95%,60.00%
2025-01,4,4.31%,25.00%
2025-02,4,7.17%,75.00%
2025-03,5,-7.61%,40.00%
2025-04,4,14.81%,75.00%
2025-05,4,2.38%,50.00%
2025-06,5,5.52%,60.00%
2025-07,4,6.48%,100.00%
2025-08,4,5.49%,75.00%
2025-09,5,-1.29%,20.00%
2025-10,4,-0.17%,50.00%
2025-11,4,-1.04%,75.00%
2025-12,4,2.06%,75.00%
