月份,交易次数,月度收益率,月度胜率
2020-02,2,3.80%,50.00%
2020-03,5,-2.07%,60.00%
2020-04,4,-1.84%,50.00%
2020-05,4,4.96%,50.00%
2020-06,5,7.38%,60.00%
2020-07,4,6.10%,50.00%
2020-08,5,-0.73%,40.00%
2020-09,4,-3.52%,50.00%
2020-10,4,-1.34%,25.00%
2020-11,5,5.52%,40.00%
2020-12,4,2.19%,50.00%
2021-01,4,-6.26%,25.00%
2021-02,4,7.95%,75.00%
2021-03,5,5.31%,80.00%
2021-04,4,-1.88%,50.00%
2021-05,5,4.54%,100.00%
2021-06,4,5.52%,75.00%
2021-07,4,6.17%,75.00%
2021-08,5,11.04%,100.00%
2021-09,4,2.94%,50.00%
2021-10,4,0.20%,50.00%
2021-11,5,9.94%,80.00%
2021-12,4,10.02%,100.00%
2022-01,4,-7.89%,0.00%
2022-02,4,1.90%,50.00%
2022-03,4,4.07%,75.00%
2022-04,4,-8.55%,50.00%
2022-05,5,12.32%,60.00%
2022-06,4,4.98%,75.00%
2022-07,4,3.80%,50.00%
2022-08,5,1.64%,40.00%
2022-09,4,-9.35%,25.00%
2022-10,4,9.43%,75.00%
2022-11,4,2.60%,50.00%
2022-12,4,-4.37%,25.00%
2023-01,4,5.62%,100.00%
2023-02,4,2.12%,50.00%
2023-03,4,1.63%,50.00%
2023-04,4,4.06%,75.00%
2023-05,5,1.66%,40.00%
2023-06,4,-4.14%,50.00%
2023-07,5,0.31%,40.00%
2023-08,4,-3.24%,25.00%
2023-09,4,-3.07%,50.00%
2023-10,4,1.76%,50.00%
2023-11,4,6.71%,75.00%
2023-12,4,-2.91%,25.00%
2024-01,5,-21.09%,40.00%
2024-02,3,23.52%,100.00%
2024-03,4,6.69%,75.00%
2024-04,5,-1.97%,60.00%
2024-05,4,-6.85%,25.00%
2024-06,4,-8.47%,25.00%
2024-07,5,0.60%,60.00%
2024-08,4,1.06%,75.00%
2024-09,5,40.89%,80.00%
2024-10,4,-1.98%,50.00%
2024-11,4,13.00%,75.00%
2024-12,5,-11.04%,60.00%
2025-01,4,3.75%,25.00%
2025-02,4,6.58%,75.00%
2025-03,5,-7.97%,40.00%
2025-04,4,19.22%,100.00%
2025-05,4,1.46%,50.00%
2025-06,5,4.86%,40.00%
2025-07,4,10.79%,75.00%
2025-08,4,12.83%,100.00%
2025-09,5,1.94%,60.00%
2025-10,4,-0.65%,50.00%
2025-11,4,1.23%,75.00%
2025-12,4,1.71%,75.00%
