factor,periods,avg_correct_direction_stock_pct,avg_strong_stock_pct,avg_strong_correct_stock_pct,avg_top_abs_exposure_contribution_share,avg_abs_exposure,median_abs_avg_exposure,total_contribution,avg_factor_return
CAPX,301,0.5573421926910299,0.2591362126245847,0.16172757475083058,0.42156119697684097,0.7906509805008918,0.4014637196022923,0.08911847892942543,5.7018912315973827e-05
CFP,301,0.5435215946843854,0.2517607973421927,0.14883720930232558,0.5447421845306321,0.6665514973286912,0.3510436390948331,0.039893898773040816,0.00024462175518120814
EYIELD,301,0.5138870431893688,0.24239202657807307,0.1279734219269103,0.4941795759918757,0.7296045229847181,0.44422687731734806,0.0425930882750716,0.00016972813132861043
LP,301,0.5138870431893688,0.24239202657807307,0.1279734219269103,0.4941795759918757,0.7296045229847181,0.44422687731734806,0.0425930882750708,0.00016972813132861672
SP,301,0.4879734219269103,0.24438538205980068,0.1261794019933555,0.47522336357153533,0.7075666510082836,0.33504604441057806,0.01653849605682641,0.00021614443864876852
AGRO,301,0.5222591362126245,0.22976744186046516,0.12212624584717607,0.5066815587290424,0.6273464581820459,0.37139160466948473,0.015043593277415931,2.405494592008184e-05
EGRO,301,0.46870431893687714,0.23740863787375419,0.12093023255813955,0.5242738515401647,0.5777736709548646,0.21170748329329345,-0.0008692539694369634,0.00030116797638501724
SGRO,301,0.5091694352159468,0.22332225913621262,0.1174750830564784,0.424272152166469,0.7574480261867601,0.3421418160676808,0.016790999658174398,-7.877543890078109e-05
ROE,301,0.5180066445182724,0.19308970099667774,0.10598006644518275,0.5021711137643349,0.642648887211308,0.3592179017946611,0.003566378599798893,-0.0004405357251118118
ROA,301,0.5027906976744186,0.19348837209302328,0.1049169435215947,0.47253711279160426,0.6974795900638083,0.3831439240709769,0.02490541110616555,0.0003407535157868566
BETA,301,0.5158139534883721,0.18558139534883722,0.10325581395348837,0.41422978236928226,0.7542140066634184,0.42402954108886703,0.20780267198659458,0.0019382979793931018
BTOP,301,0.5140199335548172,0.2033887043189369,0.09674418604651164,0.43425262584391566,0.706036300473166,0.3819489222519595,0.017384629373878274,-0.00014860536998263983
SEASON,301,0.5073089700996677,0.1770764119601329,0.09003322259136214,0.48505331171871097,0.5572533882190527,0.25297050134010524,0.034500718107092085,0.00019632692946899632
MOMENTUM,301,0.5152823920265781,0.1679734219269103,0.08511627906976743,0.44785875960838156,0.620555985753697,0.3136082789943351,0.04973898307838798,-0.0011212584643447289
BLEV,301,0.501328903654485,0.15913621262458474,0.08285714285714287,0.41816570321453655,0.44888225304171586,0.21744965743215328,-0.028446559118581217,0.00031128048959123
RESVOL,301,0.5164119601328904,0.15056478405315615,0.07754152823920267,0.43344220279961965,0.6839069033904829,0.32789528426843034,0.03635733311423134,-0.0021431552557552923
MLEV,301,0.49966777408637864,0.1596013289036545,0.07667774086378737,0.3853135049868979,0.36876829519483867,0.22376143922590588,0.004977400021336353,5.505231740559006e-05
RESMOM,301,0.4993355481727575,0.14691029900332225,0.07534883720930233,0.45501171616219904,0.6372963224318083,0.26959203515623154,0.03275712552888134,0.0017947833418446566
HISTVOL,301,0.4878405315614618,0.1489700996677741,0.07282392026578073,0.430237508167689,0.6918290261145472,0.35674574842826323,-0.038711105576501294,0.0013827888813756455
TOPSI,301,0.5009966777408639,0.14418604651162792,0.07149501661129569,0.45190504536813036,0.6327938049139898,0.25284469211835975,-0.027979221032499807,0.0005291281076045488
STOM,301,0.4896345514950166,0.11621262458471762,0.06053156146179403,0.4007663390961341,0.49490323083465904,0.2389208398297137,0.04253379005227146,0.0011374623043563007
STOQ,301,0.4550830564784053,0.10411960132890366,0.053023255813953486,0.40109723136196224,0.4910419791146174,0.260897449533625,-0.0751388321284228,0.0017011977711757615
LIQUIDITY,301,0.6755481727574751,0.10478405315614618,0.029700996677740867,0.3916602204253654,0.45942017606305413,0.23003405913332156,0.24109037226068541,-0.008627229280313673
MIDCAP,301,0.4825249169435216,0.04086378737541529,0.01920265780730897,0.39055778026662347,0.4766505572801607,0.35578377878845574,-0.0508826231253767,0.0006270036428128918
SIZE,301,0.5675083056478405,0.01700996677740864,0.007641196013289036,0.3627396114341662,0.46101665219587484,0.2500841145557903,0.10987705767572539,-0.0013736659270309308
