fold,train_start_year,train_end_year,test_start_year,test_end_year,scenario,description,max_turnover,buffer_multiplier,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,mean_actual_stock_count,train_rank
1,2020,2022,2023,2023,tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,0.797886285587549,0.255235969934932,0.21901224283041976,1.0556691990004277,-0.1329083533106115,-0.13400787808662828,0.8651419972237161,0.9407511253866984,0.02390281519522444,0.09293655139796288,0.12158402665865022,108.43093093093093,1
1,2020,2022,2023,2023,tc50_buf3,"max_turnover=50%, buffer=3x",0.5,3.0,0.774609862055366,0.25579990406887315,0.20706357597508362,1.067264463378646,-0.11629150936067852,-0.12061892905161664,0.8821413414640448,0.9161279925804562,0.041489328599319725,0.12736588125156376,0.19622881120451732,111.6463963963964,2
1,2020,2022,2023,2023,tc50_buf4,"max_turnover=50%, buffer=4x",0.5,4.0,0.7704389475821799,0.25565873191857047,0.2080203245478951,1.0735789941665748,-0.11322040187235555,-0.11532405889979214,0.8760185946640979,0.9132057147477474,0.039637183240635726,0.12044405609191397,0.1960134219093306,112.37012012012012,3
1,2020,2022,2023,2023,tc60_buf3,"max_turnover=60%, buffer=3x",0.6,3.0,0.7525923276926115,0.2502706866744562,0.20174218677379296,1.0446513154429091,-0.10930087468552155,-0.11114830527612518,0.8878743913077992,0.9065123626477543,0.04974062032903203,0.12696697543746352,0.22957384712497164,112.78828828828829,4
1,2020,2022,2023,2023,tc30_buf4,"max_turnover=30%, buffer=4x",0.3,4.0,0.744873774338886,0.25011369467328376,0.20890247594795675,1.0250157465468432,-0.13575847812157252,-0.13852667489760617,0.8640837726563562,0.9395257045551849,0.024024979193385296,0.0954634775790434,0.1225056459824402,108.72672672672672,5
1,2020,2022,2023,2023,tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,0.7249880771095648,0.23419118353588994,0.21456705755436256,0.9442139870202367,-0.14810533720812882,-0.15047650678198454,0.8639807863745037,0.9577271096979716,0.016556953333833214,0.08007552597409527,0.08413475136278342,106.02927927927928,6
1,2020,2022,2023,2023,tc60_buf2,"max_turnover=60%, buffer=2x",0.6,2.0,0.7160386927535253,0.24354836197595642,0.1896973966890394,1.0159966814173815,-0.10993419068679276,-0.11075064226444264,0.893687712903776,0.9093542921739645,0.05238903730518704,0.1348435021125412,0.22990868559012545,111.92192192192192,7
1,2020,2022,2023,2023,tc50_buf2,"max_turnover=50%, buffer=2x",0.5,2.0,0.7102269342196013,0.25174947316383545,0.1978839120361151,1.0560545289424406,-0.12065756575372151,-0.12232887233171474,0.8777682503909774,0.9150090365551102,0.040038013442284,0.13811010136146176,0.19470104336236183,111.69144144144144,8
1,2020,2022,2023,2023,tc60_buf4,"max_turnover=60%, buffer=4x",0.6,4.0,0.6810911231522989,0.23626092088151218,0.19058735177282915,0.984074883472992,-0.11076801382750182,-0.11187117727587059,0.8873712419165841,0.9059595912936685,0.049675019134332164,0.12241111371233382,0.22985508171616362,112.97072072072072,9
1,2020,2022,2023,2023,tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,0.6674745073921389,0.23554312984802422,0.1959600731781821,0.9608281008582568,-0.14098483997201441,-0.14217494181094747,0.8693435264530397,0.9431258561871343,0.024759380329475507,0.10773907084928179,0.1205131893946611,107.77102102102101,10
1,2020,2022,2023,2023,tc60_buf1p5,"max_turnover=60%, buffer=1.5x",0.6,1.5,0.6596778390655502,0.2397850137850983,0.18675425632493936,1.0008934811168606,-0.11494502775107374,-0.11786938747791009,0.8892175444448971,0.9080000922426303,0.05004668129181397,0.15223711719440203,0.22884873893528868,112.32882882882883,11
1,2020,2022,2023,2023,tc40_buf4,"max_turnover=40%, buffer=4x",0.4,4.0,0.6560008804028482,0.23370214759852606,0.19008463117097163,0.9414767570914702,-0.12808872877450195,-0.13009458888541026,0.8699173883993249,0.9251921739323722,0.03205288634183888,0.09138336121057407,0.15986510020782999,110.63363363363364,12
1,2020,2022,2023,2023,tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,0.6444310693595269,0.23525930994275296,0.18826444470056525,0.95956699863599,-0.13297599364734283,-0.1343071083430648,0.8731528907065607,0.9278325526453788,0.0329955565519818,0.1069963184597898,0.15806539923495586,109.91741741741743,13
1,2020,2022,2023,2023,tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,0.6257830173768706,0.22803321420082026,0.18864738573158846,0.9217430260412485,-0.1306512966383751,-0.13143622408793065,0.8706026734058578,0.926260506675936,0.03154995175583058,0.10032298406402383,0.1592208864479788,110.57432432432432,14
1,2020,2022,2023,2023,tc20_buf4,"max_turnover=20%, buffer=4x",0.2,4.0,0.6205621168142984,0.22588151861894346,0.20847450303988513,0.8956416317506706,-0.15469628625360704,-0.1569406061298384,0.8565711912621099,0.955397686377245,0.016545707480366507,0.11104219530485995,0.08433875598587871,106.27927927927928,15
1,2020,2022,2023,2023,tc50_buf1p5,"max_turnover=50%, buffer=1.5x",0.5,1.5,0.610475675095416,0.23040620566828235,0.17868320026339757,0.9550442815735989,-0.12169534510622082,-0.12449608263482814,0.879476442032363,0.9164288778393348,0.040500987661041626,0.13102767041139432,0.19408853310463894,111.32282282282283,16
1,2020,2022,2023,2023,tc40_buf1p5,"max_turnover=40%, buffer=1.5x",0.4,1.5,0.6038859156038465,0.22788510522969702,0.18054656810259173,0.9385222120458248,-0.13383498954090822,-0.13485625346868269,0.8738611460167198,0.92872058201907,0.033321578962461025,0.10914233998954218,0.1572350311763608,109.52402402402403,17
1,2020,2022,2023,2023,tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,0.5570119381609191,0.21414720579842017,0.18087403451635065,0.8713235442830439,-0.14253300322883897,-0.1443659263683641,0.8686317828826383,0.9436449594083718,0.024218543534071983,0.11627728565381407,0.11973130386423121,107.72297297297297,18
