fold,train_start_year,train_end_year,test_start_year,scenario,description,long_prd,short_prd,channel_bins,extreme_value,top_n,composite_score,mean_annual_return,min_annual_return,mean_sharpe,mean_max_drawdown,worst_max_drawdown,mean_fill_ratio,mean_target_overlap,mean_cash_weight,annual_return_std,mean_cost,train_rank
1,2020,2022,2023,p_l20_s10_b2_x500_y50_baseline,"L=20, S=10, bins=2, X=500, Y=50, baseline",20,10,2,1,50,0.7941464771648593,0.47954125840904815,0.34004634905566755,1.93135245299038,-0.17325327136197316,-0.17672231251092008,0.849791510921916,0.8655800289133061,0.08262440138291013,0.25331444934594255,0.16078216124533237,1
1,2020,2022,2023,p_l10_s10_b2_x500_y50_baseline,"L=10, S=10, bins=2, X=500, Y=50, baseline",10,10,2,1,50,0.775180439424808,0.48161601143301286,0.3565519033318463,1.9080555280688705,-0.19012265348711224,-0.1941565863267095,0.8501191297634213,0.8613751715179426,0.08461834107161012,0.23211485405455165,0.16817689032643124,2
1,2020,2022,2023,p_l10_s10_b3_x500_y50_baseline,"L=10, S=10, bins=3, X=500, Y=50, baseline",10,10,3,1,50,0.719413110213749,0.475794794471728,0.3371923554507523,1.8732173219116512,-0.19259226718180128,-0.19715173388745577,0.8543871403024867,0.8607880966304218,0.09053053908348008,0.25475900976883264,0.1696169578913532,3
1,2020,2022,2023,p_l40_s3_b3_x500_y50_baseline,"L=40, S=3, bins=3, X=500, Y=50, baseline",40,3,3,1,50,0.6996290784216512,0.45148768288802876,0.3397175852008385,1.8562162431293376,-0.1747842931079703,-0.18090301836572875,0.8533378747435941,0.8659086606536021,0.08812493135576835,0.3000887190207715,0.15790245310314058,4
1,2020,2022,2023,p_l20_s5_b2_x500_y50_baseline,"L=20, S=5, bins=2, X=500, Y=50, baseline",20,5,2,1,50,0.676952017087718,0.4486814153315141,0.3137234316002926,1.8342126397425293,-0.15375358376330853,-0.16567157940888344,0.8578047541657337,0.8543239637371441,0.10078610959295581,0.29945692406083635,0.1803186319501755,5
1,2020,2022,2023,p_l20_s5_b3_x500_y50_baseline,"L=20, S=5, bins=3, X=500, Y=50, baseline",20,5,3,1,50,0.5842908612211478,0.4317441686301895,0.31588126081866763,1.7553431655491125,-0.16851493181783614,-0.18625558018370714,0.8508475995872163,0.8566066034697077,0.09321223662297029,0.2812379177446305,0.1722152544451822,6
1,2020,2022,2023,p_l40_s5_b3_x500_y50_baseline,"L=40, S=5, bins=3, X=500, Y=50, baseline",40,5,3,1,50,0.5465989813903345,0.42306330733867575,0.31267688535857396,1.7660425370897053,-0.15962012751682422,-0.16495195072308844,0.8367338181544057,0.8622323603861919,0.07808060218128625,0.30960822248670694,0.15381776121682267,7
1,2020,2022,2023,p_l40_s5_b2_x500_y50_baseline,"L=40, S=5, bins=2, X=500, Y=50, baseline",40,5,2,1,50,0.5451446012894605,0.4037056238315409,0.28277095803917085,1.6327001136468837,-0.1475727301398916,-0.15019572788743318,0.8573860740061332,0.8602179041508247,0.09581409017407833,0.2626648070095113,0.16735390041998086,8
1,2020,2022,2023,p_l20_s10_b3_x500_y50_baseline,"L=20, S=10, bins=3, X=500, Y=50, baseline",20,10,3,1,50,0.5189593612452704,0.40854597431072964,0.28920858548437356,1.6513537313172841,-0.17118349755788928,-0.17447396736293297,0.8486473323682711,0.8664132631730503,0.08154873534060227,0.22010980033184113,0.15852098679420898,9
1,2020,2022,2023,p_l40_s10_b3_x500_y50_baseline,"L=40, S=10, bins=3, X=500, Y=50, baseline",40,10,3,1,50,0.4881861454834956,0.405535418420669,0.28965119059592626,1.6222160028322468,-0.18756492899337907,-0.19085618567275886,0.8515506717651902,0.8771727440798563,0.0758736973580544,0.2947286200549358,0.14342674464349223,10
1,2020,2022,2023,p_l40_s10_b2_x500_y50_baseline,"L=40, S=10, bins=2, X=500, Y=50, baseline",40,10,2,1,50,0.4654834218133597,0.4135903731939373,0.2859345391745127,1.6536053585587953,-0.2009376608555135,-0.20370073527464028,0.8549222186319307,0.8729854396812903,0.08128180050808137,0.28879266950832433,0.15046317944551563,11
1,2020,2022,2023,p_l20_s3_b2_x500_y50_baseline,"L=20, S=3, bins=2, X=500, Y=50, baseline",20,3,2,1,50,0.4597892451729664,0.4099074530529177,0.27456017754978346,1.728431714625115,-0.14702558871598806,-0.15317343748286294,0.8498298338345901,0.8450339102699923,0.10379494107604409,0.28864211815678165,0.18553570786120377,12
1,2020,2022,2023,p_l20_s3_b3_x500_y50_baseline,"L=20, S=3, bins=3, X=500, Y=50, baseline",20,3,3,1,50,0.4108785189987523,0.3994066616801654,0.26762322692913765,1.633604606085852,-0.1648958788993356,-0.17051813426692286,0.8516132454380495,0.8526051515052305,0.09806136922478463,0.2664883590132017,0.17912801826546734,13
1,2020,2022,2023,p_l40_s3_b2_x500_y50_baseline,"L=40, S=3, bins=2, X=500, Y=50, baseline",40,3,2,1,50,0.4082959025377368,0.38734364984625774,0.26562812589738694,1.583202487699946,-0.16879971175373043,-0.17405458518897865,0.8584470570566856,0.8592648545990963,0.09724196538775491,0.26683210107323413,0.17066310988045433,14
1,2020,2022,2023,p_l10_s3_b2_x500_y50_baseline,"L=10, S=3, bins=2, X=500, Y=50, baseline",10,3,2,1,50,0.3994206414628446,0.42354692528874643,0.2806822813652605,1.7222409459653873,-0.18081032005080833,-0.20080259565974323,0.8587943897474037,0.8408632450812127,0.11517560259777043,0.36535244441635956,0.1960777502086587,15
1,2020,2022,2023,p_l10_s5_b3_x500_y50_baseline,"L=10, S=5, bins=3, X=500, Y=50, baseline",10,5,3,1,50,0.3514580137209224,0.379357857807598,0.2739703454012463,1.519454268140969,-0.17662617668899688,-0.19457050001177723,0.8599889057474656,0.8506552855500634,0.10596133744351638,0.25823374020739975,0.18670245999015242,16
1,2020,2022,2023,p_l10_s5_b2_x500_y50_baseline,"L=10, S=5, bins=2, X=500, Y=50, baseline",10,5,2,1,50,0.32071251555468955,0.39271024989643366,0.2762916563612712,1.564552451640279,-0.1942691024043141,-0.2165212579670669,0.8615879060080145,0.8483604211771136,0.1093344420535057,0.31709373030104854,0.18993251513739365,17
1,2020,2022,2023,p_l10_s3_b3_x500_y50_baseline,"L=10, S=3, bins=3, X=500, Y=50, baseline",10,3,3,1,50,0.12692947298634283,0.3615608472106245,0.2361715239865283,1.4256062949313197,-0.19514098970714988,-0.20815196722289486,0.8604926484330782,0.844508573166901,0.11311722618621332,0.3579455747925329,0.1931168478533817,18
