date,code,pct_chg,close
2020-01-02,000852.SH,0.0196738,5676.56
2020-01-02,000905.SH,0.0186952,5366.14
2020-01-03,000852.SH,0.00519433,5706.04
2020-01-03,000905.SH,0.00270213,5380.64
2020-01-06,000852.SH,0.0102855,5764.73
2020-01-06,000905.SH,0.010075,5434.85
2020-01-07,000852.SH,0.0152006,5852.36
2020-01-07,000905.SH,0.011958,5499.84
2020-01-08,000852.SH,-0.0136503,5772.47
2020-01-08,000905.SH,-0.0138259,5423.8
2020-01-09,000852.SH,0.0158871,5864.18
2020-01-09,000905.SH,0.0135956,5497.54
2020-01-10,000852.SH,-0.00209565,5851.89
2020-01-10,000905.SH,-0.00314868,5480.23
2020-01-13,000852.SH,0.0127872,5926.72
2020-01-13,000905.SH,0.0144884,5559.63
2020-01-14,000852.SH,-0.0021275,5914.11
2020-01-14,000905.SH,-0.00311172,5542.33
2020-01-15,000852.SH,-0.000100624,5913.52
2020-01-15,000905.SH,-0.00221928,5530.03
2020-01-16,000852.SH,-0.00192545,5902.13
2020-01-16,000905.SH,-0.000426761,5527.67
2020-01-17,000852.SH,-0.00384941,5879.41
2020-01-17,000905.SH,-0.0031876,5510.05
2020-01-20,000852.SH,0.0128337,5954.87
2020-01-20,000905.SH,0.0140634,5587.54
2020-01-21,000852.SH,-0.00890164,5901.86
2020-01-21,000905.SH,-0.0113825,5523.94
2020-01-22,000852.SH,0.00300385,5919.59
2020-01-22,000905.SH,0.00933573,5575.51
2020-01-23,000852.SH,-0.0372625,5699.01
2020-01-23,000905.SH,-0.0354712,5377.74
2020-02-03,000852.SH,-0.0875321,5200.16
2020-02-03,000905.SH,-0.0868097,4910.9
2020-02-04,000852.SH,0.00229562,5212.1
2020-02-04,000905.SH,0.0174245,4996.47
2020-02-05,000852.SH,0.0261393,5348.34
2020-02-05,000905.SH,0.025516,5123.96
2020-02-06,000852.SH,0.0312808,5515.64
2020-02-06,000905.SH,0.031017,5282.89
2020-02-07,000852.SH,0.0123203,5583.6
2020-02-07,000905.SH,0.00835717,5327.04
2020-02-10,000852.SH,0.0139635,5661.56
2020-02-10,000905.SH,0.0115242,5388.43
2020-02-11,000852.SH,-0.00676554,5623.26
2020-02-11,000905.SH,-0.00503857,5361.28
2020-02-12,000852.SH,0.0232959,5754.26
2020-02-12,000905.SH,0.0184042,5459.95
2020-02-13,000852.SH,-0.00812009,5707.53
2020-02-13,000905.SH,-0.00862828,5412.84
2020-02-14,000852.SH,0.00355609,5727.83
2020-02-14,000905.SH,0.00147058,5420.8
2020-02-17,000852.SH,0.036428,5936.48
2020-02-17,000905.SH,0.0320322,5594.44
2020-02-18,000852.SH,0.0228604,6072.19
2020-02-18,000905.SH,0.0118636,5660.81
2020-02-19,000852.SH,-0.00891651,6018.05
2020-02-19,000905.SH,-0.0101664,5603.26
2020-02-20,000852.SH,0.0193314,6134.39
2020-02-20,000905.SH,0.0184625,5706.71
2020-02-21,000852.SH,0.0177834,6243.48
2020-02-21,000905.SH,0.013549,5784.03
2020-02-24,000852.SH,0.0219327,6380.41
2020-02-24,000905.SH,0.0140801,5865.47
2020-02-25,000852.SH,0.00418921,6407.14
2020-02-25,000905.SH,0.00549828,5897.72
2020-02-26,000852.SH,-0.0289222,6221.83
2020-02-26,000905.SH,-0.0261677,5743.39
2020-02-27,000852.SH,0.00164807,6232.09
2020-02-27,000905.SH,0.00180033,5753.73
2020-02-28,000852.SH,-0.0579457,5870.97
2020-02-28,000905.SH,-0.0525642,5451.29
