年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,21.59%,25.82%,0.73,47.83%,11.75%
2021,52,69.66%,19.47%,3.42,73.08%,6.85%
2022,50,8.17%,23.67%,0.22,48.00%,14.43%
2023,50,10.24%,19.60%,0.38,52.00%,15.67%
2024,52,22.69%,49.71%,0.40,59.62%,19.78%
2025,51,68.28%,23.72%,2.75,62.75%,11.36%
