年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,40.57%,25.97%,1.46,56.52%,13.53%
2021,52,103.05%,19.67%,5.09,76.92%,7.86%
2022,50,14.35%,25.00%,0.46,52.00%,14.32%
2023,50,15.12%,19.83%,0.62,48.00%,14.25%
2024,52,27.12%,51.85%,0.47,55.77%,22.15%
2025,51,57.15%,22.09%,2.45,56.86%,10.79%
