月份,交易次数,月度收益率,月度胜率
2020-02,2,3.32%,50.00%
2020-03,5,-4.08%,60.00%
2020-04,4,0.30%,50.00%
2020-05,4,6.30%,75.00%
2020-06,5,9.45%,60.00%
2020-07,4,9.64%,50.00%
2020-08,5,0.45%,60.00%
2020-09,4,-2.30%,50.00%
2020-10,4,0.49%,25.00%
2020-11,5,8.38%,80.00%
2020-12,4,3.08%,50.00%
2021-01,4,-1.08%,25.00%
2021-02,4,10.55%,75.00%
2021-03,5,3.11%,80.00%
2021-04,4,3.57%,50.00%
2021-05,5,4.31%,60.00%
2021-06,4,7.92%,100.00%
2021-07,4,9.64%,75.00%
2021-08,5,15.26%,100.00%
2021-09,4,2.44%,75.00%
2021-10,4,-0.34%,50.00%
2021-11,5,13.67%,80.00%
2021-12,4,6.82%,100.00%
2022-01,4,-5.62%,25.00%
2022-02,4,5.08%,50.00%
2022-03,4,7.08%,75.00%
2022-04,4,-11.63%,25.00%
2022-05,5,13.86%,80.00%
2022-06,4,6.06%,75.00%
2022-07,4,9.98%,75.00%
2022-08,5,-2.49%,40.00%
2022-09,4,-11.21%,25.00%
2022-10,4,14.91%,75.00%
2022-11,4,6.67%,75.00%
2022-12,4,-4.57%,50.00%
2023-01,4,10.26%,100.00%
2023-02,4,2.74%,50.00%
2023-03,4,6.43%,75.00%
2023-04,4,7.81%,50.00%
2023-05,5,1.30%,60.00%
2023-06,4,0.24%,50.00%
2023-07,5,1.42%,40.00%
2023-08,4,-5.68%,25.00%
2023-09,4,-1.87%,50.00%
2023-10,4,3.21%,50.00%
2023-11,4,1.54%,50.00%
2023-12,4,-5.93%,25.00%
2024-01,5,-26.92%,40.00%
2024-02,3,22.90%,100.00%
2024-03,4,8.18%,75.00%
2024-04,5,-0.70%,40.00%
2024-05,4,-3.75%,25.00%
2024-06,4,-8.53%,50.00%
2024-07,5,-0.15%,60.00%
2024-08,4,0.48%,75.00%
2024-09,5,47.15%,80.00%
2024-10,4,-3.84%,50.00%
2024-11,4,13.33%,75.00%
2024-12,5,-8.99%,60.00%
2025-01,4,4.04%,25.00%
2025-02,4,7.53%,75.00%
2025-03,5,-6.30%,40.00%
2025-04,4,14.91%,75.00%
2025-05,4,5.07%,75.00%
2025-06,5,4.53%,60.00%
2025-07,4,5.85%,100.00%
2025-08,4,4.97%,75.00%
2025-09,5,-0.20%,20.00%
2025-10,4,-0.82%,50.00%
2025-11,4,-1.67%,75.00%
2025-12,4,1.28%,50.00%
