fold,train_start_year,train_end_year,test_start_year,test_end_year,selected_scenario,selected_score,selected_mean_annual_return,selected_min_annual_return,selected_mean_max_drawdown,selected_mean_fill_ratio,selected_mean_target_overlap,selected_mean_cash_weight
1,2020,2022,2023,2023,tc30_buf3,0.797886285587549,0.255235969934932,0.21901224283041976,-0.1329083533106115,0.8651419972237161,0.9407511253866984,0.02390281519522444
2,2021,2023,2024,2024,tc50_buf3,0.7908344472933079,0.21230419538270992,0.16336259318154944,-0.13091032132873634,0.8742336972379726,0.9108621493680713,0.0423178425999593
3,2022,2024,2025,2025,tc50_buf2,0.8408956486783716,0.08728965120155802,0.052638775605760024,-0.2088932134341782,0.8721394376599843,0.911393378224856,0.0406917473083859
