年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,39.69%,25.83%,1.43,56.52%,13.52%
2021,52,105.93%,20.57%,5.00,73.08%,7.92%
2022,50,26.22%,28.12%,0.83,56.00%,16.07%
2023,50,22.13%,21.08%,0.91,52.00%,15.12%
2024,52,24.40%,52.02%,0.41,59.62%,25.14%
2025,51,44.90%,21.16%,1.98,58.82%,11.24%
