年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,32.32%,26.70%,1.11,54.35%,13.40%
2021,52,94.25%,19.01%,4.80,73.08%,7.24%
2022,50,19.00%,25.56%,0.63,52.00%,13.56%
2023,50,17.34%,20.55%,0.70,50.00%,15.12%
2024,52,28.18%,51.04%,0.49,55.77%,22.52%
2025,51,47.65%,22.59%,1.98,54.90%,11.56%
