scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
tc30_buf1,30000000,0.2,2023,50,0.07405835535319727,0.022034930655626464,0.9664711385857985,1.0534240754727042
tc30_buf1,30000000,0.2,2024,52,-0.05618237463497322,0.021688804752163823,0.8923093332648205,3.577855974332982
tc30_buf1,30000000,0.2,2025,51,0.28815382250882227,0.018705292424585466,0.8429886145976417,5.193873047135273
tc30_buf1,100000000,0.05,2020,46,0.30674534714271684,0.02204602429980115,0.8912878763962011,3.250809189134129
tc30_buf1,100000000,0.05,2021,52,0.45470545674033946,0.024985024702569823,0.8649694159867066,4.549173607153297
tc30_buf1,100000000,0.05,2022,50,0.14814855200487798,0.02483938129485544,0.9208615427880228,2.508283551791182
tc30_buf1,100000000,0.05,2023,50,0.05584812078064916,0.025356409612971507,0.9216092892536689,2.4710395127255205
tc30_buf1,100000000,0.05,2024,52,-0.06533837787475938,0.025603152631304034,0.8572256059232795,4.881241314620301
tc30_buf1,100000000,0.05,2025,51,0.28480099199235753,0.022349386294430222,0.8387065748971391,5.349019804438531
tc30_buf1,100000000,0.1,2020,46,0.3103059451761616,0.022820684481058062,0.9105620295334973,2.65565458768791
tc30_buf1,100000000,0.1,2021,52,0.4642234012736086,0.027453781218685823,0.9134466172448232,2.8740688632304767
tc30_buf1,100000000,0.1,2022,50,0.14929656801853097,0.026577096744012606,0.9520090576770468,1.530587959777804
tc30_buf1,100000000,0.1,2023,50,0.0668052914721402,0.027442515097438613,0.9616753734501714,1.2038558052619464
tc30_buf1,100000000,0.1,2024,52,-0.06133012697980478,0.026839148699100625,0.8859282733475956,3.8022611445277965
tc30_buf1,100000000,0.1,2025,51,0.283437722923513,0.022581871538937745,0.8420484214839055,5.226005584581822
tc30_buf1,100000000,0.2,2020,46,0.30986628870463107,0.022986913554185383,0.9135807903467617,2.565195379013504
tc30_buf1,100000000,0.2,2021,52,0.4742105039852196,0.028114537879714876,0.9223616804087512,2.575697392415589
tc30_buf1,100000000,0.2,2022,50,0.15161513258970682,0.026902715560707724,0.956257568243567,1.3974494782207039
tc30_buf1,100000000,0.2,2023,50,0.0679061123259792,0.027736907863044252,0.9662469261843419,1.0604502198795895
tc30_buf1,100000000,0.2,2024,52,-0.06089695196786282,0.027254106268035098,0.892012634008599,3.5865435794858604
tc30_buf1,100000000,0.2,2025,51,0.28310856485678526,0.022631845174079335,0.8430194305031484,5.1928021515076805
tc30_buf2,10000000,0.05,2020,46,0.34520876748759965,0.016356048998144055,0.9150613884724362,2.5256464996222774
tc30_buf2,10000000,0.05,2021,52,0.5191401224569892,0.019443590031282303,0.9225737971002405,2.5827725108471817
tc30_buf2,10000000,0.05,2022,50,0.16473798595337485,0.01881952104895021,0.9546125432334258,1.451536999368785
tc30_buf2,10000000,0.05,2023,50,0.0834867323764874,0.019147010986680472,0.9681063501823052,1.0025189682548552
tc30_buf2,10000000,0.05,2024,52,-0.06694493410822044,0.0188150973773413,0.890948221248953,3.6218295060435852
tc30_buf2,10000000,0.05,2025,51,0.31100965715908035,0.016730820188503335,0.8418634631185088,5.248860398360065
tc30_buf2,10000000,0.1,2020,46,0.34520876748759965,0.016356048998144055,0.9150613884724362,2.5256464996222774
tc30_buf2,10000000,0.1,2021,52,0.5191401224569892,0.019443590031282303,0.9225737971002405,2.5827725108471817
tc30_buf2,10000000,0.1,2022,50,0.16473798595337485,0.01881952104895021,0.9546125432334258,1.451536999368785
tc30_buf2,10000000,0.1,2023,50,0.0834867323764874,0.019147010986680472,0.9681063501823052,1.0025189682548552
tc30_buf2,10000000,0.1,2024,52,-0.06694493410822044,0.0188150973773413,0.890948221248953,3.6218295060435852
tc30_buf2,10000000,0.1,2025,51,0.31100965715908035,0.016730820188503335,0.8418634631185088,5.248860398360065
tc30_buf2,10000000,0.2,2020,46,0.34520876748759965,0.016356048998144055,0.9150613884724362,2.5256464996222774
tc30_buf2,10000000,0.2,2021,52,0.5191401224569892,0.019443590031282303,0.9225737971002405,2.5827725108471817
tc30_buf2,10000000,0.2,2022,50,0.16473798595337485,0.01881952104895021,0.9546125432334258,1.451536999368785
tc30_buf2,10000000,0.2,2023,50,0.0834867323764874,0.019147010986680472,0.9681063501823052,1.0025189682548552
tc30_buf2,10000000,0.2,2024,52,-0.06694493410822044,0.0188150973773413,0.890948221248953,3.6218295060435852
tc30_buf2,10000000,0.2,2025,51,0.31100965715908035,0.016730820188503335,0.8418634631185088,5.248860398360065
tc30_buf2,30000000,0.05,2020,46,0.34222109135477385,0.018623310267267858,0.9149977223302459,2.5275551184282414
tc30_buf2,30000000,0.05,2021,52,0.5125704530805459,0.02234726623780273,0.9219790635245885,2.602749076320563
tc30_buf2,30000000,0.05,2022,50,0.16160205002016914,0.021528504571126872,0.954305220534254,1.461077382837596
tc30_buf2,30000000,0.05,2023,50,0.08026257689554184,0.022064653692182152,0.9675211355234721,1.0209341288538774
tc30_buf2,30000000,0.05,2024,52,-0.06883775408058612,0.02163291383056639,0.8902384752822047,3.64355349730525
tc30_buf2,30000000,0.05,2025,51,0.308374382446704,0.01874755714347269,0.8419065454172382,5.247353428502136
tc30_buf2,30000000,0.1,2020,46,0.34215827675495003,0.018625430529002996,0.9150613884724362,2.5256464996222774
tc30_buf2,30000000,0.1,2021,52,0.5146377599336591,0.02241053812881255,0.9225737971002405,2.5827725108471817
tc30_buf2,30000000,0.1,2022,50,0.16155065281154868,0.021558677484760758,0.9546125432334258,1.451536999368785
tc30_buf2,30000000,0.1,2023,50,0.08031046732345581,0.02208161426559804,0.9681063501823052,1.0025189682548552
tc30_buf2,30000000,0.1,2024,52,-0.06952501214513396,0.02169758102844121,0.8909425817819853,3.621731224211001
tc30_buf2,30000000,0.1,2025,51,0.30836930070543644,0.018746893468828168,0.8418697289792529,5.248641222541953
tc30_buf2,30000000,0.2,2020,46,0.34215827675495003,0.018625430529002996,0.9150613884724362,2.5256464996222774
tc30_buf2,30000000,0.2,2021,52,0.5146377599336591,0.02241053812881255,0.9225737971002405,2.5827725108471817
tc30_buf2,30000000,0.2,2022,50,0.16155065281154868,0.021558677484760758,0.9546125432334258,1.451536999368785
tc30_buf2,30000000,0.2,2023,50,0.08031046732345581,0.02208161426559804,0.9681063501823052,1.0025189682548552
tc30_buf2,30000000,0.2,2024,52,-0.06963783212786079,0.021704230555178217,0.890948221248953,3.6218295060435852
tc30_buf2,30000000,0.2,2025,51,0.30836843583040685,0.018746780516877597,0.8418634631185088,5.248860398360065
tc30_buf2,100000000,0.05,2020,46,0.3385355131029022,0.022184850952247162,0.8936922833153141,3.1862716055736344
tc30_buf2,100000000,0.05,2021,52,0.48871904521255183,0.025055651967089775,0.8659440652529522,4.528881937251119
tc30_buf2,100000000,0.05,2022,50,0.15375573567350176,0.02480067549359583,0.9166841107730036,2.6473106714793775
tc30_buf2,100000000,0.05,2023,50,0.062135798718517155,0.025408837308219516,0.921855599903095,2.464066249749974
tc30_buf2,100000000,0.05,2024,52,-0.08063768668004156,0.025609688868153964,0.856168568445089,4.911597487233662
tc30_buf2,100000000,0.05,2025,51,0.3046986487559782,0.02239485101990785,0.8373968828335662,5.411967958898612
tc30_buf2,100000000,0.1,2020,46,0.3377017372590927,0.02290833947313747,0.9121464921433078,2.6144727304151427
tc30_buf2,100000000,0.1,2021,52,0.49585305032154525,0.027506148935185964,0.9140679307114161,2.867913968876205
tc30_buf2,100000000,0.1,2022,50,0.1534480391062416,0.026573426005304605,0.9502881197036508,1.587926386785588
tc30_buf2,100000000,0.1,2023,50,0.07253742518360351,0.027493224380492124,0.9628558214909908,1.1665093026176363
tc30_buf2,100000000,0.1,2024,52,-0.0747401066332316,0.026868561426815592,0.8848658753185117,3.8332105070763633
tc30_buf2,100000000,0.1,2025,51,0.30357111132545134,0.02263683104825995,0.8409399919136735,5.280602554712624
tc30_buf2,100000000,0.2,2020,46,0.3362179506644114,0.023059180715013755,0.9150613884724362,2.5256464996222774
tc30_buf2,100000000,0.2,2021,52,0.5054118835795736,0.02814831472536165,0.9222833709127392,2.592198064542772
tc30_buf2,100000000,0.2,2022,50,0.1554645006849411,0.026893025599965745,0.954606250804854,1.4516702873196443
tc30_buf2,100000000,0.2,2023,50,0.07410101445611406,0.027803121183983773,0.9678835092152432,1.0094961067139785
tc30_buf2,100000000,0.2,2024,52,-0.07430970263689429,0.02727861344076139,0.8906620771442912,3.630136061610969
tc30_buf2,100000000,0.2,2025,51,0.3032271056346081,0.022686113234546796,0.8418931372600832,5.2478224252083345
tc30_buf3,10000000,0.05,2020,46,0.3556542560438847,0.016361001100664803,0.915041222798746,2.527085514851347
tc30_buf3,10000000,0.05,2021,52,0.4936395700030216,0.0194464426956983,0.9223616533787388,2.590817888102465
tc30_buf3,10000000,0.05,2022,50,0.13425316074528015,0.01879130492469058,0.953062375367864,1.503295605641146
tc30_buf3,10000000,0.05,2023,50,0.09240514446777448,0.01915471644707831,0.9681748658002836,1.0014211514161513
tc30_buf3,10000000,0.05,2024,52,-0.07119429959866486,0.01892563883334636,0.896908396774623,3.411642423037802
tc30_buf3,10000000,0.05,2025,51,0.29125622435538956,0.01675155342124459,0.8421560038634442,5.240550013571858
tc30_buf3,10000000,0.1,2020,46,0.3556542560438847,0.016361001100664803,0.915041222798746,2.527085514851347
tc30_buf3,10000000,0.1,2021,52,0.4936395700030216,0.0194464426956983,0.9223616533787388,2.590817888102465
tc30_buf3,10000000,0.1,2022,50,0.13425316074528015,0.01879130492469058,0.953062375367864,1.503295605641146
tc30_buf3,10000000,0.1,2023,50,0.09240514446777448,0.01915471644707831,0.9681748658002836,1.0014211514161513
tc30_buf3,10000000,0.1,2024,52,-0.07119429959866486,0.01892563883334636,0.896908396774623,3.411642423037802
tc30_buf3,10000000,0.1,2025,51,0.29125622435538956,0.01675155342124459,0.8421560038634442,5.240550013571858
tc30_buf3,10000000,0.2,2020,46,0.3556542560438847,0.016361001100664803,0.915041222798746,2.527085514851347
