年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,39.37%,25.89%,1.42,52.17%,13.51%
2021,52,117.56%,20.45%,5.60,76.92%,7.87%
2022,50,28.98%,27.45%,0.95,58.00%,15.13%
2023,50,21.16%,21.29%,0.86,52.00%,15.47%
2024,52,25.48%,50.95%,0.44,59.62%,22.86%
2025,51,44.91%,21.50%,1.95,56.86%,11.62%
