date,SIZE,MIDCAP,BETA,RESVOL,HISTVOL,MOMENTUM,RESMOM,BTOP,EYIELD,CFP,SP,LP,EGRO,SGRO,MLEV,BLEV,LIQUIDITY,STOM,STOQ,ROE,ROA,CAPX,AGRO,TOPSI,SEASON
2020-01-02,-0.0005851117701919,-0.0010907513953848,0.0061975901033556,-0.0343149946041254,0.0367437979692399,1.376366731356524e-05,0.0912616803146108,-0.0019470801463466,0.0002707162387573,-0.0001517091859861,0.0005924761179748,0.0002707162387567,4.507783112265317e-05,-0.0001995631590755,0.0020379503826088,-0.0018445856944802,-0.0016598301955917,-0.002512593613798,0.0028165075432165,-0.0008613884347483,-0.001114526354012,-0.0009816921699039,-2.462755214903421e-05,-0.0927545211517696,-0.0006674046868575
2020-01-03,-0.0004891939121227,-0.0020124205927022,0.0012391688976223,-0.1470250376517884,0.1497257096406741,-0.0005552238830153,0.0228037391030944,-0.0013233509592006,-0.0002624532728261,-0.0001266086652349,0.0006110963301494,-0.0002624532728257,-0.000479818551997,0.0010253511435027,-0.0001746245949725,-0.0005302309924746,0.0041954465609268,-0.0009372983745732,-0.0041708197200872,-0.0010448866082455,-0.0005869409425304,0.0012011210633193,-3.257818116154018e-05,-0.0239514590595871,0.0010015101765373
2020-01-06,-0.001824761434335,-0.0010891409180183,0.0012307597988411,-0.1236411622751883,0.1269177545237129,-0.0006726879540924,0.006900705922827,0.0011316441389071,0.0002436331277603,-0.0002672078323109,-0.0005791505267378,0.0002436331277619,-0.0006245776610518,0.0002161853939959,0.0001702374378929,0.0005560050472755,-0.0054171269457037,-0.0009738406659187,0.0046079255333517,0.0003328917326348,0.002324330058459,-0.0004531933299767,-0.0009271470275847,-0.006582994443319,0.0006942078372652
2020-01-07,-0.0004586081390579,-0.0005088627622252,-0.0004425444255642,-0.0052817073338073,0.004379365306962,-0.0012022719583101,0.0138290504728115,-0.0030898403035785,-0.0014353091094604,-0.0001915461932651,-0.0001046901363726,-0.0014353091094604,0.0002394472830184,0.0012625632718467,0.0053202381442028,-0.002684278417944,0.0012739436864057,-0.0051090180090503,-0.0002790254080915,-3.639928606952152e-05,-0.0001392807384282,0.001019691128427,0.0001812412419811,-0.0140078584988019,0.0033623973105784
2020-01-08,-0.0014606945009607,0.0005769056640882,0.0033263911770516,-0.1383855209449154,0.1384551647844385,0.0024012010769702,-0.0008206260327508,-0.0027772487426307,4.0118346314437344e-05,9.43948722465425e-05,9.108432549240209e-05,4.011834631433472e-05,-0.0008897950036546,-0.0006353008873299,0.0028937337451265,-0.0017859864851446,-0.0091797386944808,0.0034203715307561,0.0035167086855084,-1.2430192278254995e-05,0.0020730261780008,-0.0002226013130965,0.0006062543383571,0.0009887055997846,-0.0012485733794577
2020-01-09,-0.001544339734575,-0.0001403800236766,0.0005031371573101,-0.037271935777885,0.0358754067931229,0.0026367005993039,0.0211074869911595,-0.0018760242649181,-0.0002604792098674,0.0002359396042427,0.0002623718165632,-0.0002604792098677,-0.0002316550781141,0.0001104349701284,0.0023364269048429,-0.0012719647396463,-0.0038039199525858,-0.0019883156244499,0.004329110943271,0.0005460588871569,0.0019517607693071,0.0005719050767987,0.0006489219609392,-0.0206563341155009,-0.001620606989298
2020-01-10,0.0001467887278433,-0.0008452799825689,0.0037657012089013,-0.0218779355302777,0.0189696391672271,-0.001161499059295,0.0142151532975059,-0.0019106755107364,-0.0004276628389473,1.4922873861078588e-05,0.000186008755293,-0.0004276628389474,0.0002366226620372,-0.0001052789654173,0.0028014060682277,-0.0012094555432473,0.0002821771284586,0.0041738187337634,-0.0029214976691334,0.0009036852333013,0.0009951172000535,0.0005411892435993,0.00160185805126,-0.0093231300503949,0.0006292229471051
2020-01-13,-0.0018030744654358,-0.0002405088985091,-0.0041384135362799,-0.0230542893247797,0.0244184815704258,-0.0011182887365349,-0.0331383981256633,-0.0011053630123364,0.0009449001178,0.0002793871439609,-0.0002151345969086,0.0009449001178001,-0.0001264379014143,0.0004802045087451,0.003419427689377,-0.0011811830649281,-0.0024205299074009,0.0018179057105158,-0.0005255566166786,-0.0002719749689664,-0.0010843552452617,0.0010932105576546,8.238045664857836e-05,0.0320137424381877,-0.0001996475317742
2020-01-14,0.0002664395109231,-0.001390942697079,0.0023864674394719,-0.0888318464575459,0.0863186211894897,0.002529851368281,0.0039631370952531,-0.0036309177916814,5.777781238294538e-05,-0.0002571205208001,0.0002628113318097,5.77778123816902e-05,-8.868868235773743e-05,-0.0012838115516158,0.0020402610645616,-0.0027425715828236,-0.002903213385287,-0.0027979578917268,0.0044007848833373,0.0001613378440261,0.0005836906760278,9.731983841031972e-05,0.0005757318220279,-0.0017888690783587,-7.550659288970659e-05
2020-01-15,0.0004254406707662,-0.0015458561268701,-0.0012907907896623,-0.0050563526340862,0.0034021617383141,0.0010566457506796,-0.0112314095737408,-0.0023065817846826,-0.0010918935257423,-0.0006308511129777,0.0004254691718186,-0.0010918935257423,0.0003679796926422,0.0004783381809934,0.004039584797664,0.000341819858887,-0.0022072537248666,0.0059717026026072,-0.0033210494765569,-0.0010143373596891,0.0024181894221238,0.0004349974813884,0.0007239604902229,0.0127593109055978,0.0015254292167496
