final_nav,cumulative_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,win_rate,scenario,capital,participation_limit,periods,avg_fill_ratio,avg_unfilled_trade_weight,total_unfilled_trade_weight,avg_cash_weight,avg_actual_stock_count,avg_target_overlap_weight,avg_period_cost,total_cost_arithmetic,total_fixed_cost_arithmetic,total_impact_cost_arithmetic,avg_participation,p95_participation,max_participation
3.0587958422420596,2.0587958422420596,0.21078396004573374,0.2672850587024382,0.6763713651760686,-0.24118438275252196,0.5714285714285714,p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.05,301,0.9333322262199795,0.06887689365214686,20.731944989296206,0.013236345224115221,105.64119601328903,0.9589929605897379,0.0012435364988501838,0.3743044861539053,0.2888952345347273,0.085409251619178,0.017362837842757863,0.02971633097780006,0.05000000000000002
3.0409755729711536,2.0409755729711536,0.20957427058812161,0.2679424452993587,0.6701971775598758,-0.24282337704356594,0.5714285714285714,p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.1,301,0.9521572678179921,0.04914840313696263,14.793669344225751,0.0070059617428272275,102.32558139534883,0.9719724548720481,0.0012767734377966149,0.3843088047767811,0.2932818212183682,0.09102698355841282,0.019855116226702017,0.03691217173286592,0.10000000000000002
3.044507289658466,2.044507289658466,0.20981447936016373,0.2680168297753527,0.6709074184292131,-0.24299197986884458,0.5714285714285714,p_l10_s10_b2_e1_n100_tc50_buf2,100000000,0.2,301,0.9545357838265097,0.04666342385620855,14.045690580718773,0.006536907765502102,101.80066445182725,0.9734495224080829,0.0012811765923474014,0.3856341542965678,0.2937290273717204,0.09190512692484742,0.020437490384356164,0.038535127235268085,0.20000000000000004
2.8541898702667448,1.8541898702667448,0.1965277365554614,0.25806527257364203,0.6452930876545612,-0.2180619070759905,0.5581395348837209,p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.05,301,0.8013467830035179,0.2133825115356625,64.22813597223441,0.07232384335881692,122.88372093023256,0.8571818844953014,0.0011896534904164357,0.35808570061534717,0.2550679332774898,0.1030177673378574,0.03024219986994793,0.042354594337510355,0.05000000000000002
2.8934200925146047,1.8934200925146047,0.19932538127289878,0.26567638994952236,0.6373369545749626,-0.24111636235211686,0.5681063122923588,p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.1,301,0.9025317527784306,0.10163250496163621,30.5913839934525,0.025859623318129205,109.86378737541528,0.9363034966059443,0.0013820318541623857,0.4159915881028781,0.28102069335498825,0.13497089474788987,0.0446140899396228,0.07002028040365259,0.10000000000000003
2.8562265479040025,1.8562265479040025,0.19667376119561442,0.26764281062174444,0.6227470142329806,-0.24462698312558917,0.5714285714285714,p_l10_s10_b2_e1_n100_tc50_buf2,300000000,0.2,301,0.9449483248757719,0.05667501755159723,17.059180283030766,0.009152495585694337,103.76744186046511,0.9671358251194176,0.001479590572144473,0.4453567622154864,0.29172096749549287,0.15363579471999356,0.05608160029984088,0.1003634134015373,0.20000000000000007
2.5202570293915243,1.5202570293915243,0.171326831492584,0.24440289093604123,0.5782535179977407,-0.20364288856296642,0.5481727574750831,p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.05,301,0.6945615131206659,0.3357929517639565,101.07367848095092,0.1347971291591347,134.71428571428572,0.7647242792803277,0.0010798364593329107,0.3250307742592061,0.22567941703380268,0.09935135722540347,0.0350660263251493,0.0453610610365508,0.05000000000000001
2.8092049574613536,1.8092049574613536,0.19328019846386613,0.2611709284375316,0.6251851974517159,-0.22651767404031198,0.5614617940199336,p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.1,301,0.833742470167517,0.17704925599821214,53.291826055461854,0.05613179547185074,118.86046511627907,0.8834531739513504,0.0013569262688748333,0.40843480693132483,0.2635506745736462,0.1448841323576786,0.0566094543605951,0.08150825100124695,0.10000000000000002
2.7658312416805524,1.7658312416805524,0.19010789624709257,0.2664485115944785,0.600896192997951,-0.24438131113935546,0.5647840531561462,p_l10_s10_b2_e1_n100_tc50_buf2,500000000,0.2,301,0.9187706510310023,0.08428473301184053,25.369704636564,0.019091056985248628,107.71428571428571,0.948361656237398,0.0015540714747357277,0.467775513895454,0.28513909486732564,0.1826364190281284,0.08032304695708617,0.13182857695748174,0.20000000000000004
2.981263281824179,1.9812632818241789,0.20547753088475407,0.26641657651771816,0.6586584557852535,-0.23481871182254188,0.5647840531561462,p_l10_s10_b2_e1_n120_tc50_buf2,100000000,0.05,301,0.9377358049691246,0.06437119191331134,19.37572876590671,0.008839238005226235,125.80730897009967,0.9634417136465919,0.0012271485467488432,0.36937171257140183,0.2899886594072053,0.07938305316419653,0.01508640895000035,0.026192585454070178,0.05000000000000002
