年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,39.44%,25.48%,1.44,56.52%,13.26%
2021,52,103.14%,21.20%,4.72,73.08%,9.59%
2022,50,26.78%,28.05%,0.85,60.00%,16.30%
2023,50,22.28%,20.97%,0.92,48.00%,14.40%
2024,52,17.26%,51.90%,0.27,59.62%,25.14%
2025,51,42.57%,21.50%,1.84,60.78%,11.24%
