scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.05,2023,50,0.12315932991804979,0.06606955530799449,0.96394141004345,1.8466129649988328
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.05,2024,52,0.03524078367492112,0.0649350889660674,0.9354042589459604,3.5649264070059905
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.05,2025,51,0.797793950355409,0.06236419409317157,0.9343919707108632,3.4592539613760027
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.1,2023,50,0.13258903837133795,0.06796532021119657,0.9896807587098293,0.5205471894760667
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.1,2024,52,0.030149749851914764,0.06702488436628241,0.957595668833375,2.33943877456257
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.1,2025,51,0.7484629230463076,0.06257751507096025,0.9372053025847971,3.3028057941608604
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.2,2023,50,0.13295338945067336,0.06806973824943943,0.9912447186716348,0.441609519369783
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.2,2024,52,0.029257738350255247,0.06759422426614071,0.9625537498309773,2.076354297911605
p_l20_s3_b2_e1_n100_tc50_buf4,100000000,0.2,2025,51,0.7251566572052699,0.06257593914499249,0.9372889357300617,3.297530881674042
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.05,2023,50,0.07403326734601845,0.06022241464404954,0.7734681697193119,12.33294358767265
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.05,2024,52,0.030733186826004344,0.06194032203213341,0.7974400255777829,11.617916737575609
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.05,2025,51,0.7911931458222348,0.06473555397655859,0.855413335421635,7.948694083128741
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.1,2023,50,0.10084533975620658,0.07355563652907852,0.9166207677508198,4.351593931065211
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.1,2024,52,0.02221208706237454,0.07231097488089189,0.9027870251060988,5.431519109845537
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.1,2025,51,0.8013839302707453,0.0708073786626133,0.9238617497277669,4.041795658442801
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.2,2023,50,0.1139769076019026,0.08022410336029535,0.9808296638105944,0.9728351793530461
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.2,2024,52,0.02121560746789486,0.07765156630860502,0.9477434520581081,2.874010973820429
p_l20_s3_b2_e1_n100_tc50_buf4,300000000,0.2,2025,51,0.7619315850298372,0.07204772705418992,0.9364293798190702,3.3461314361621124
p_l20_s3_b2_e1_n100_tc50_buf4,500000000,0.05,2023,50,0.045863768938264826,0.05218634920238887,0.6360105893190794,20.464436287781478
p_l20_s3_b2_e1_n100_tc50_buf4,500000000,0.05,2024,52,0.013370302775389975,0.05605060024268422,0.6846614021170568,18.4400067451204
