fold,test_year,final_nav,cumulative_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,win_rate,scenario,capital,participation_limit,periods,avg_fill_ratio,avg_unfilled_trade_weight,total_unfilled_trade_weight,avg_cash_weight,avg_actual_stock_count,avg_target_overlap_weight,avg_period_cost,total_cost_arithmetic,total_fixed_cost_arithmetic,total_impact_cost_arithmetic,avg_participation,p95_participation,max_participation
1,2023,1.0607439859810992,0.0607439859810992,0.062370546207958455,0.18277974618757065,0.17710138504481474,-0.12866995969848005,0.52,baseline,100000000,0.05,50,0.9706364892816953,0.04561766897066759,2.2808834485333795,0.026487596159834394,105.66,0.9639473674347496,0.002017426185645958,0.10087130928229789,0.07507943815772035,0.025791871124577523,0.022196376349644616,0.03087917817602671,0.05000000000000002
1,2023,1.0693521630962104,0.0693521630962104,0.07121686384311676,0.18547043365448898,0.2222287565246073,-0.12789804264903593,0.52,baseline,100000000,0.1,50,0.9914530171715198,0.013287982107481793,0.6643991053740896,0.010095563320631419,99.62,0.9883082272859438,0.002095414737210011,0.10477073686050054,0.07695067176037335,0.027820065100127193,0.02525443363855852,0.03867335142028355,0.10000000000000002
1,2023,1.0701958759721777,0.07019587597217769,0.07208401738604153,0.18563351899271058,0.22670484088433449,-0.12785280818260858,0.52,baseline,100000000,0.2,50,0.992582455449634,0.011579654085564313,0.5789827042782156,0.009027342940607445,99.14,0.9896965014869146,0.0021012431759784107,0.10506215879892053,0.07707382372606296,0.027988335072857584,0.02560766711967567,0.0395484314941889,0.19491194073429557
1,2023,1.0045103538562916,0.004510353856291616,0.004627817801639678,0.16069292395041998,-0.15789234257874743,-0.12961457090001727,0.5,baseline,300000000,0.05,50,0.8025627441157098,0.290118734322957,14.50593671614785,0.17770364360288318,130.54,0.7660888110370803,0.0017180470639688225,0.08590235319844113,0.05956530848546335,0.026337044712977792,0.0348858396765701,0.04427472450874527,0.05000000000000002
1,2023,1.0299263451507008,0.029926345150700806,0.030715748832850442,0.1768065197272104,0.004048203844262935,-0.13313481593033394,0.5,baseline,300000000,0.1,50,0.92913629881159,0.10859435208217315,5.4297176041086574,0.06120714057026172,114.14,0.9150992536737829,0.0022034829609539845,0.11017414804769922,0.07118480853025068,0.03898933951744855,0.055236265629685824,0.07470263066303753,0.10000000000000003
1,2023,1.04539475874332,0.04539475874332011,0.0466013285363267,0.1845108247002141,0.0899748216035557,-0.13300223914720077,0.52,baseline,300000000,0.2,50,0.9846816499362135,0.023727579488432925,1.1863789744216462,0.01530616100469907,101.76,0.9804831297534341,0.0024660327079425743,0.12330163539712871,0.07636257870670145,0.04693905669042728,0.07205430199590139,0.10503616276026798,0.20000000000000007
1,2023,0.9876453987116255,-0.012354601288374512,-0.012673569979165578,0.1434198587473339,-0.2975429647741084,-0.12368687261258993,0.48,baseline,500000000,0.05,50,0.6794459300320206,0.44990035256227967,22.495017628113985,0.30560031418202005,141.56,0.6222496666278503,0.001427308837422189,0.07136544187110945,0.048543539903871266,0.022821901967238174,0.038753619350813666,0.04656523875890547,0.05000000000000001
1,2023,1.0035678955859344,0.0035678955859343997,0.0036607702201618686,0.16562019323948693,-0.15903392735299846,-0.13279568272686293,0.5,baseline,500000000,0.1,50,0.841682808225764,0.2360605061365122,11.80302530682561,0.1392561394693123,126.04,0.812341677197088,0.0020307666816997264,0.10153833408498632,0.06314833555600215,0.038389998528984184,0.06641351179864978,0.08569809308499163,0.10000000000000002
1,2023,1.0232276526731985,0.023227652673198484,0.02383831793187996,0.18000970172207212,-0.03422972211594147,-0.13691187073506095,0.5,baseline,500000000,0.2,50,0.9517099595907135,0.07464910100904554,3.732455050452277,0.04251525237817517,109.96,0.94141782330639,0.002547777066811997,0.12738885334059985,0.07328286263012074,0.05410599071047911,0.10134603624061861,0.13889971249389516,0.20000000000000004
1,2023,1.0793882228068523,0.07938822280685232,0.08153290107423361,0.17717309994403416,0.29086188078501723,-0.1310396059756287,0.5,tc50_buf2,100000000,0.05,50,0.9659840571746297,0.034720290939759986,1.7360145469879993,0.015761365366701433,104.24,0.9747591718467696,0.0013197976952154266,0.06598988476077133,0.04911460978146153,0.016875274979309796,0.02214893764791423,0.03160847639703964,0.05000000000000002
