年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,44.09%,27.42%,1.51,47.83%,13.22%
2021,52,150.22%,21.17%,6.96,78.85%,6.99%
2022,50,43.93%,29.07%,1.41,58.00%,13.28%
2023,50,21.03%,21.65%,0.84,54.00%,16.40%
2024,52,11.43%,51.38%,0.16,57.69%,23.20%
2025,51,43.21%,22.00%,1.83,58.82%,12.04%
