月份,交易次数,月度收益率,月度胜率
2020-02,2,3.26%,50.00%
2020-03,5,-0.98%,60.00%
2020-04,4,-0.67%,75.00%
2020-05,4,6.07%,50.00%
2020-06,5,8.51%,60.00%
2020-07,4,9.43%,50.00%
2020-08,5,0.33%,60.00%
2020-09,4,-3.68%,50.00%
2020-10,4,0.37%,25.00%
2020-11,5,5.75%,60.00%
2020-12,4,1.45%,50.00%
2021-01,4,-1.90%,25.00%
2021-02,4,7.84%,75.00%
2021-03,5,6.29%,80.00%
2021-04,4,0.88%,75.00%
2021-05,5,5.11%,100.00%
2021-06,4,6.83%,100.00%
2021-07,4,9.53%,100.00%
2021-08,5,16.85%,100.00%
2021-09,4,4.32%,75.00%
2021-10,4,0.42%,50.00%
2021-11,5,11.06%,80.00%
2021-12,4,9.45%,100.00%
2022-01,4,-8.23%,0.00%
2022-02,4,5.88%,50.00%
2022-03,4,3.49%,75.00%
2022-04,4,-7.46%,50.00%
2022-05,5,12.68%,60.00%
2022-06,4,6.60%,75.00%
2022-07,4,5.77%,75.00%
2022-08,5,2.27%,40.00%
2022-09,4,-8.98%,25.00%
2022-10,4,9.89%,75.00%
2022-11,4,2.33%,50.00%
2022-12,4,-2.93%,25.00%
2023-01,4,6.39%,100.00%
2023-02,4,2.64%,50.00%
2023-03,4,2.55%,50.00%
2023-04,4,7.68%,75.00%
2023-05,5,1.70%,60.00%
2023-06,4,-2.99%,25.00%
2023-07,5,0.40%,40.00%
2023-08,4,-4.39%,25.00%
2023-09,4,-2.43%,50.00%
2023-10,4,1.29%,50.00%
2023-11,4,7.72%,75.00%
2023-12,4,-4.23%,25.00%
2024-01,5,-23.00%,40.00%
2024-02,3,23.84%,100.00%
2024-03,4,8.18%,75.00%
2024-04,5,-2.20%,60.00%
2024-05,4,-6.24%,25.00%
2024-06,4,-8.77%,25.00%
2024-07,5,0.19%,60.00%
2024-08,4,0.47%,75.00%
2024-09,5,46.65%,80.00%
2024-10,4,-4.18%,50.00%
2024-11,4,12.90%,75.00%
2024-12,5,-11.25%,60.00%
2025-01,4,4.62%,25.00%
2025-02,4,5.54%,75.00%
2025-03,5,-4.42%,40.00%
2025-04,4,19.44%,100.00%
2025-05,4,1.54%,50.00%
2025-06,5,4.90%,40.00%
2025-07,4,10.80%,75.00%
2025-08,4,10.03%,75.00%
2025-09,5,-0.10%,60.00%
2025-10,4,-0.36%,50.00%
2025-11,4,0.05%,75.00%
2025-12,4,3.37%,75.00%
