period_count,start_date,end_date,cumulative_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,scenario,avg_turnover,avg_cash_weight,avg_fill_ratio,avg_period_cost
20,2026-01-05,2026-05-25,0.012409256181642014,0.03269886796144239,0.2585159145415068,0.010439852286189006,-0.09505301846723035,baseline_raw,0.048,,,
20,2026-01-05,2026-05-25,0.009690194318433543,0.025478488165011193,0.24904294126608248,-0.01815555105477947,-0.09234592844670941,baseline,0.048,2.880183071207742e-17,0.27913484686444356,0.00013693751701278527
1,2026-01-05,2026-01-05,0.04208883784203077,,,,0.0,tc50_buf2,0.5,1.734723475976807e-16,0.9011393581412303,0.0011348243024055435
