fold,train_start_year,train_end_year,test_start_year,test_end_year,selected_scenario,selected_score,selected_mean_annual_return,selected_min_annual_return,selected_mean_max_drawdown
1,2020,2022,2023,2023,p_l20_s10_b2_x500_y50_baseline,0.7941464771648593,0.47954125840904815,0.34004634905566755,-0.17325327136197316
2,2021,2023,2024,2024,p_l10_s10_b3_x500_y50_baseline,0.7589994119275156,0.3902727292558996,0.25692790047323566,-0.19259226718180125
3,2022,2024,2025,2025,p_l20_s10_b3_x500_y50_baseline,0.8324268688861195,0.18860257428876698,0.12144157470595829,-0.27389884452793156
