年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,33.29%,26.11%,1.17,54.35%,12.59%
2021,52,86.11%,18.90%,4.40,71.15%,7.20%
2022,50,27.07%,25.76%,0.94,50.00%,14.20%
2023,50,16.38%,20.06%,0.67,50.00%,13.29%
2024,52,14.44%,50.86%,0.22,55.77%,22.52%
2025,51,44.88%,21.79%,1.92,56.86%,11.65%
