月份,交易次数,月度收益率,月度胜率
2020-02,2,3.26%,50.00%
2020-03,5,-4.00%,60.00%
2020-04,4,0.06%,50.00%
2020-05,4,6.43%,75.00%
2020-06,5,8.09%,60.00%
2020-07,4,11.74%,50.00%
2020-08,5,0.18%,40.00%
2020-09,4,-2.20%,50.00%
2020-10,4,0.23%,25.00%
2020-11,5,8.22%,60.00%
2020-12,4,2.86%,50.00%
2021-01,4,-0.55%,25.00%
2021-02,4,11.14%,75.00%
2021-03,5,2.86%,80.00%
2021-04,4,3.57%,75.00%
2021-05,5,4.06%,80.00%
2021-06,4,6.68%,75.00%
2021-07,4,13.51%,100.00%
2021-08,5,16.44%,100.00%
2021-09,4,2.30%,75.00%
2021-10,4,-0.66%,50.00%
2021-11,5,14.34%,80.00%
2021-12,4,8.37%,100.00%
2022-01,4,-6.08%,25.00%
2022-02,4,4.47%,50.00%
2022-03,4,7.50%,75.00%
2022-04,4,-10.32%,50.00%
2022-05,5,12.73%,80.00%
2022-06,4,7.10%,75.00%
2022-07,4,11.04%,75.00%
2022-08,5,-2.18%,40.00%
2022-09,4,-11.01%,25.00%
2022-10,4,15.72%,75.00%
2022-11,4,4.71%,75.00%
2022-12,4,-3.55%,50.00%
2023-01,4,10.67%,100.00%
2023-02,4,2.95%,50.00%
2023-03,4,5.03%,50.00%
2023-04,4,6.23%,50.00%
2023-05,5,1.34%,60.00%
2023-06,4,-0.52%,50.00%
2023-07,5,1.33%,40.00%
2023-08,4,-4.75%,25.00%
2023-09,4,-2.09%,50.00%
2023-10,4,2.98%,50.00%
2023-11,4,2.74%,75.00%
2023-12,4,-5.43%,25.00%
2024-01,5,-23.90%,40.00%
2024-02,3,22.46%,100.00%
2024-03,4,8.22%,75.00%
2024-04,5,-1.52%,40.00%
2024-05,4,-4.00%,25.00%
2024-06,4,-8.36%,50.00%
2024-07,5,-0.52%,60.00%
2024-08,4,0.45%,75.00%
2024-09,5,46.93%,80.00%
2024-10,4,-3.22%,50.00%
2024-11,4,12.68%,75.00%
2024-12,5,-10.30%,60.00%
2025-01,4,4.03%,25.00%
2025-02,4,6.94%,75.00%
2025-03,5,-6.68%,40.00%
2025-04,4,14.17%,75.00%
2025-05,4,3.39%,50.00%
2025-06,5,4.60%,60.00%
2025-07,4,7.74%,100.00%
2025-08,4,6.81%,75.00%
2025-09,5,-0.60%,20.00%
2025-10,4,-0.35%,50.00%
2025-11,4,-2.37%,75.00%
2025-12,4,1.60%,50.00%
