年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,38.56%,25.61%,1.40,58.70%,11.25%
2021,52,74.45%,18.87%,3.79,65.38%,7.45%
2022,50,18.06%,21.61%,0.70,56.00%,9.75%
2023,50,20.93%,19.15%,0.94,54.00%,11.23%
2024,52,22.48%,49.97%,0.39,55.77%,16.99%
2025,51,89.40%,24.53%,3.53,70.59%,12.36%
