fold,scenario,capital,participation_limit,year,weeks,annual_return,annual_cost_arithmetic,avg_fill_ratio,total_unfilled_trade_weight
1,baseline,100000000,0.05,2023,50,0.0607439859810992,0.10087130928229789,0.9706364892816953,2.2808834485333795
1,baseline,100000000,0.1,2023,50,0.0693521630962104,0.10477073686050054,0.9914530171715198,0.6643991053740896
1,baseline,100000000,0.2,2023,50,0.07019587597217769,0.10506215879892053,0.992582455449634,0.5789827042782156
1,baseline,300000000,0.05,2023,50,0.004510353856291616,0.08590235319844113,0.8025627441157098,14.50593671614785
1,baseline,300000000,0.1,2023,50,0.029926345150700806,0.11017414804769922,0.92913629881159,5.4297176041086574
1,baseline,300000000,0.2,2023,50,0.04539475874332011,0.12330163539712871,0.9846816499362135,1.1863789744216462
1,baseline,500000000,0.05,2023,50,-0.012354601288374512,0.07136544187110945,0.6794459300320206,22.495017628113985
1,baseline,500000000,0.1,2023,50,0.0035678955859343997,0.10153833408498632,0.841682808225764,11.80302530682561
1,baseline,500000000,0.2,2023,50,0.023227652673198484,0.12738885334059985,0.9517099595907135,3.732455050452277
1,tc50_buf2,100000000,0.05,2023,50,0.07938822280685232,0.06598988476077133,0.9659840571746297,1.7360145469879993
1,tc50_buf2,100000000,0.1,2023,50,0.08428197750178978,0.0681732153937956,0.9906737007293731,0.4717270405719941
1,tc50_buf2,100000000,0.2,2023,50,0.08468146208699423,0.06833759478253881,0.9922753895526658,0.3904018724579629
1,tc50_buf2,300000000,0.05,2023,50,0.04152451111652389,0.05913111163354186,0.7735158273456215,12.113129875197082
1,tc50_buf2,300000000,0.1,2023,50,0.06077197153776326,0.07307373733924698,0.9183795388503652,4.223320283142788
1,tc50_buf2,300000000,0.2,2023,50,0.06845083570869503,0.08029381425411099,0.9821296532442579,0.9074741068225561
1,tc50_buf2,500000000,0.05,2023,50,0.024069966143844823,0.0507995835804919,0.6334976749369582,20.18149537090004
1,tc50_buf2,500000000,0.1,2023,50,0.042463217266423436,0.06910652945661355,0.8178508048704124,9.646918046072939
1,tc50_buf2,500000000,0.2,2023,50,0.05537280436052283,0.08388980102159997,0.9441878218391091,2.8677026863400714
1,tc50_buf3,100000000,0.05,2023,50,0.07786847496521987,0.06604593775493842,0.9629194071816221,1.9012185443079497
1,tc50_buf3,100000000,0.1,2023,50,0.08182746422480447,0.06820169216753164,0.9904112151957534,0.48491152166523543
1,tc50_buf3,100000000,0.2,2023,50,0.08208038628685776,0.06835392302475872,0.9922736996638468,0.39030001479711096
1,tc50_buf3,300000000,0.05,2023,50,0.04976851708782282,0.05993937634424425,0.7694749863891321,12.559056407816628
1,tc50_buf3,300000000,0.1,2023,50,0.06038267425736521,0.07340141828970319,0.9137520598013472,4.506783587384949
1,tc50_buf3,300000000,0.2,2023,50,0.06609367760683127,0.08035068115901667,0.9808519319260324,0.9730647411545528
1,tc50_buf3,500000000,0.05,2023,50,0.035705385794375655,0.05151123057518044,0.630502297910125,20.748176239608444
1,tc50_buf3,500000000,0.1,2023,50,0.048556203395603736,0.06981161476736963,0.8132098892630679,10.04564342288057
1,tc50_buf3,500000000,0.2,2023,50,0.05449436343535541,0.08413468485305578,0.9401884743173458,3.097235192179128
1,tc50_buf4,100000000,0.05,2023,50,0.05985703271142895,0.06598214947386234,0.9599345985333837,2.0593305724291344
1,tc50_buf4,100000000,0.1,2023,50,0.06162218605061165,0.06822037571733051,0.9893287924765779,0.5396841728293423
1,tc50_buf4,100000000,0.2,2023,50,0.06182684002895855,0.06841884408514985,0.9918653552427554,0.4106239282683396
1,tc50_buf4,300000000,0.05,2023,50,0.04010178252008001,0.060174465667574346,0.7651353437183931,12.90965974005001
1,tc50_buf4,300000000,0.1,2023,50,0.043353130251915006,0.07332743896067238,0.9088812356150975,4.777072926595777
1,tc50_buf4,300000000,0.2,2023,50,0.04691772856010834,0.08032551665550904,0.9788461963128817,1.0769121428272443
1,tc50_buf4,500000000,0.05,2023,50,0.03240165476747281,0.05197602580726864,0.6302515870084268,20.952436485376886
1,tc50_buf4,500000000,0.1,2023,50,0.03390950129470238,0.06996045811819084,0.8079676481732244,10.402364320510774
1,tc50_buf4,500000000,0.2,2023,50,0.037366996676170716,0.08401309852907513,0.9360828702035391,3.319000741421738
1,walk_forward_selected,100000000,0.05,2023,50,0.052451999378526404,0.04081788180248665,0.9636788956671495,1.1750815944404995
1,walk_forward_selected,100000000,0.1,2023,50,0.056799764500499395,0.04198092758709485,0.989928113620531,0.31990462891884364
1,walk_forward_selected,100000000,0.2,2023,50,0.05687978121805459,0.04204956882669149,0.9911552865562483,0.2812810850353875
1,walk_forward_selected,300000000,0.05,2023,50,0.017945215014095295,0.03800944650060113,0.746335834638258,9.253682692073461
1,walk_forward_selected,300000000,0.1,2023,50,0.03811088990896261,0.0455585986199174,0.911239857762283,2.950911377977202
1,walk_forward_selected,300000000,0.2,2023,50,0.04793951530366192,0.04944926858762903,0.9816237666603292,0.5879639569769858
1,walk_forward_selected,500000000,0.05,2023,50,0.006355491873013763,0.0342749828140954,0.5934034566492309,16.43686722833021
1,walk_forward_selected,500000000,0.1,2023,50,0.020445636512244292,0.04392596103589079,0.7968477718691532,7.1915098932095205
1,walk_forward_selected,500000000,0.2,2023,50,0.036389917852754694,0.05200064664787225,0.9396168856177092,1.9778104397265508
2,baseline,100000000,0.05,2024,52,0.06477753124353991,0.09989911436855191,0.9344245745301147,5.360132880427823
2,baseline,100000000,0.1,2024,52,0.06720909547385912,0.1033565416972879,0.952725940922946,3.8864909957631513
2,baseline,100000000,0.2,2024,52,0.06693392027340339,0.10403880533823123,0.9560077625235628,3.6177865749665434
2,baseline,300000000,0.05,2024,52,-0.021687150822730428,0.09286965085532245,0.814109206158933,14.125702081766267
2,baseline,300000000,0.1,2024,52,0.029413412461385624,0.11024349342890988,0.904927146483728,7.615014388446562
2,baseline,300000000,0.2,2024,52,0.05023612874754324,0.11968392868648424,0.945579813543771,4.474621480182758
2,baseline,500000000,0.05,2024,52,-0.04533873151471446,0.08215300395756317,0.7170327731045093,20.751815085445916
2,baseline,500000000,0.1,2024,52,-0.0173585968321196,0.10666687609137389,0.8430062913629547,12.092752281444698
