年份,交易次数,年度收益率,年化波动率,夏普比率,胜率,最大回撤
2020,46,52.94%,25.76%,1.95,60.87%,13.65%
2021,52,126.34%,20.80%,5.93,73.08%,6.86%
2022,50,32.39%,28.09%,1.05,56.00%,14.69%
2023,50,28.67%,20.67%,1.25,54.00%,12.27%
2024,52,30.83%,52.23%,0.53,57.69%,21.97%
2025,51,55.90%,22.98%,2.30,58.82%,12.83%
